Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo ;Precio Lista
1164589;Speaker Jbl Clip Rosa;Speaker Jbl Clip Rosa;"Modelo:  Clip 4
Color: Rosa
Potencia Nominal: 5 Watts Rms
Conectividad Wireless: Bluetooth 5.1
Caracteristicas: Controles De Reproduccion Y Volumen Integrados  Mosqueton Integrado En La Parte Superior";21;21002;397.000; 556.000   
1051131;Kit Manicura Gama Nails Spa;Kit Manicura Gama Nails Spa Trp12 11 En 1;"Modelo:  Nails Spa Trp12
Color: Blanco Violeta
Potencia Nominal: 3.5 Watts
Funciones: Pedicura, Manicura Y Secador De Unhas
Caracteristicas: Integra Sistema De Secado De Unhas  Con 11 Cabezales Intercambiables Para Pulir Y Modelar Las Unhas  Posee Compartimento Para Almacenamiento De Los Accesorios";28;28005;346.000; 484.000   
197656;Masajeador Para Pies Gama;Masajeador Para Pies Gama Fs606 220V  Blanco   Purpura;"Modelo:  Fs606
Color: Blanco Purpura
Potencia Nominal: 45 Watts
Funciones: Actua A Traves De Calefaccion Infrarroja Para Aliviar Dolores En Las Articulaciones Y Pies, Reduce El Cansancio Corporal Y Ayuda A Estimular La Circulacion Sanguinea
Caracteristicas: Posee Rodillo Masajeador Removible. Boton Selector De Funciones";28;28005;451.000; 632.000   
1095722;Speaker Jbl Jrpop Teal;Speaker Jbl Jrpop De 3 Watts Rms Con Bluetooth  Teal;"Modelo:  Jrpop
Color: Teal
Potencia Nominal: 3 Watts Rms
Alto Parlante: 1.5
Rendimiento: Certificacion Ipx7, Resistente Al Agua
Caracteristicas: Cuenta Con Correa De Mano Para Transporte En La Parte Superior  Control De Volumen Integrado";21;21002;181.000; 254.000   
1054767;Speaker Jbl Jrpop Rosa;Speaker Jbl Jrpop De 3 Watts Rms Con Bluetooth  Rosa;"Modelo:  Jrpop
Color: Rosa
Potencia Nominal: 3 Watts Rms
Alto Parlante: 1.5
Rendimiento: Certificacion Ipx7, Resistente Al Agua
Caracteristicas: Cuenta Con Correa De Mano Para Transporte En La Parte Superior  Control De Volumen Integrado";21;21002;181.000; 254.000   
1155556;Kit De Cocina 3 En 1 Britania ;Kit De Cocina 3 En 1 Britania Bkt09R Batidora + Exprimidor De Frutas + Licuadora 220V  50   60 Hz  Rosa;"Modelo:  Batidora: Diamante Cristal Duo  Exprimidor De Frutas: Bellagio Maxx  Licuadora: Diamante 800
Color: Rosa
Potencia Nominal: Batidora: 400 Watts  Exprimidor De Frutas: 35 Watts  Licuadora: 900 Watts
Capacidad: Batidora: 4.3 Litros  Exprimidor De Frutas: 1.5 Litros  Licuadora: 2.65 Litros
Velocidad:  Batidora: 4  Turbo  Licuadora: 4  Pulsar
Caracteristicas: Batidora: Puede Ser Utilizada En Modo Portatil  El Tazon De Plastico Inhibe La Reproduccion De Bacterias  Exprimidor De Frutas: Posee Doble Rotacion  Tapa Protectora Transparente Con Mango  Licuadora: Funcion Autolimpieza Integrada  Tapa Con Traba  Posee Filtro Para Separar Semillas Y Demas Residuos De Frutas O Legumbres Despues Del Procesamiento  Tritura Hielo (Porciones Moderadas)  Base Antideslizante Y Espacio Para Guardar El Cable De Alimentacion";1;1004;820.000; 1.148.000   
1092547;Masajeador Musc. Keen ;Masajeador Muscular Keen Em005 Con 6 Cabezales Recargable  Negro;"Modelo:  Em005
Color: Negro
Display: Lcd Retroiluminado Por Led, Exhibe Los Ajustes De Velocidad Y El Nivel De La Bateria
Potencia: 12 Watts
Velocidad:  6 Intensidades: 1.200, 1.600, 2.000, 2.400, 2.800 Y 3.200 Rpm
Funciones: Realiza Masaje En Diferentes areas Del Cuerpo  Emite Vibraciones Profundas Que Relajan Los Tejidos Musculares Y Alivia Dolores Provenientes De Tensiones
Caracteristicas: Trae 6 Cabezales Intercambiables: Bola Pequenha Y Grande (Pequenhos Y Grandes Grupos Musculares), Plana (Diferentes Partes Del Cuerpo), Neumatica (Partes Sensibles De Los Musculos), Bifurcada (Columna Vertebral) Y Bala (Articulaciones)  Bajo Ruido";28;28005;405.000; 567.000   
998468;Ninhera Electronica Motorola ;Ninhera Electronica Motorola Mbp36Sc 3.5 2.4Ghz Con Vision Nocturna  Blanca   Gris;"Modelo:  Mbp36Sc
Color: Blanco Gris
Monitor: Lcd De 3.5 Colorido
Alcance: Aproximadamente 300 Metros En Areas Libres De Interferencias
Caracteristicas: Posee Comunicacion Bidireccional Y Vision Nocturna Infrarroja  Exhibe La Temperatura De La Habitacion En Pantalla  Cuenta Con 5 Canciones De Cuna  Es Compatible Con La Aplicacion Hubble";47;47002;831.000; 1.164.000   
983563;Ninhera Electronica Motorola 36;Ninhera Electronica Motorola Mbp36Xl 5.0 2.4Ghz Con Vision Nocturna  Blanca;"Modelo:  Mbp36Xl
Color: Blanco
Monitor: Lcd De 5.0 Color Screen
Alcance: Aproximadamente 300 Metros En Areas Libres De Interferencias
Caracteristicas: Posee Comunicacion Bidireccional Y Vision Nocturna Infrarroja  Exhibe La Temperatura De La Habitacion En Pantalla  Cuenta Con 5 Canciones De Cuna  Tiene Control Remoto De Pan, Tilt Y Zoom De La Camara  Es Compatible Con Aplicacion Hubble";47;47002;972.000; 1.361.000   
1098020;Ninhera Electronica Mf873 ;Ninhera Electronica More Fitness Mf873 2.4 2.4Ghz Com Vision Nocturna  Blanca   Gris;"Modelo:  Mf873
Color: Blanco Gris
Monitor: Tft Qvga De 5.0 Colorido
Alcance: Aproximadamente 200 Metros En Areas Libres De Interferencias
Caracteristicas: Posee Vision Nocturna Infrarroja  Integra Modo Vox, El Cual Activa El Transmisor Al Detectar Ruido Como La Voz O El Llanto Del Bebe. Con Microfono Integrado, De Alta Sensibilidad";47;47002;296.000; 415.000   
