Codigo Proveedor ;Nombre ;Descripcionlarga;Descripcionlarga;Familia;Clase ;Costo ;Preciolista
LT06E;Lavarropa Electrotrolux  6Kg;Lavarropa Electrolux Carga Superior Palet 6 Kg 9 Prog Blanco ;Lavarropa Electrolux Carga Superior Palet 6 Kg 9 Prog Blanco ;13;13001;1981000;2773400
EWIE08F5MMW;Lavarropa Electrolux 8Kg;Lavarropa Electrolux carga superior Impel 8 Kg 8 Prog Blanco;Lavarropa Electrolux carga superior Impel 8 Kg 8 Prog Blanco;13;13001;2254000;3155600
LC10;Lavarropa Electrolux 10Kg;Lavarropa Electrolux Carga Superior Palet 10 Kg 12 Programas de lavado ;Lavarropa Electrolux Carga Superior Palet 10 Kg 12 Programas de lavado ;13;13001;2699000;3778600
LC12;Lavarropa Electrolux 12Kg;Lavarropa Electrolux Carga Superior Palet 12 Kg 12 Programas de lavado ;Lavarropa Electrolux Carga Superior Palet 12 Kg 12 Programas de lavado ;13;13001;2838000;3973200
LTD11;Lavarropa Electrolux 11Kg;Lavarropa  Electrolux Carga Superior Palet 11 Kg 12 Programas de lavado ;Lavarropa  Electrolux Carga Superior Palet 11 Kg 12 Programas de lavado ;13;13001;2818000;3945200
EWIV12D5OSGSG;Lavarropa Electrolux 12Kg;Lavarropa  Electrolux Carga Superior Impel 12 Kg 6 Programas;Lavarropa  Electrolux Carga Superior Impel 12 Kg 6 Programas;13;13001;2728000;3819200
LC13Q;Lavarropa Electrolux 13 kg;Lavarropa Electrolux  Carga Superior Palet Autocal 13 kilos ;Lavarropa Electrolux  Carga Superior Palet Autocal 13 kilos ;13;13001;3462000;4846800
LI13Y;Lavarropa Electrolux 13Kg;Lavarropa  Electrolux Carga Superior  Palet 13 Kg 12 Programas de lavado ;Lavarropa  Electrolux Carga Superior  Palet 13 Kg 12 Programas de lavado ;13;13001;2973000;4162200
L13AQ;Lavarropa Electrolux 13Kg;Lavarropa  Electrolux Carga Superior Palet Autocal 13 Kg;Lavarropa  Electrolux Carga Superior Palet Autocal 13 Kg;13;13001;3566000;4992400
EWIV14D5OSGSG;Lavarropa Electrolux 14Kg;Lavarropa  Electrolux  Carga Superior Impel 14 Kg 6 Programas ;Lavarropa  Electrolux  Carga Superior Impel 14 Kg 6 Programas ;13;13001;3612000;5056800
LI14Y;Lavarropa Electrolux 14Kg;Lavarropa Electrolux Carga Superior Impel 14 Kg 12 Programas;Lavarropa Electrolux Carga Superior Impel 14 Kg 12 Programas;13;13001;3118000;4365200
LC16Y;Lavarropa Electrolux 16Kg;Lavarropa  Electrolux Carga Superior Palet 16 Kg;Lavarropa  Electrolux Carga Superior Palet 16 Kg;13;13001;3467000;4853800
L16AY;Lavarropa Electrolux 16Kg ;Lavarropa  Electrolux Carga Superior Palet 16 Kg 12 Programas;Lavarropa  Electrolux Carga Superior Palet 16 Kg 12 Programas;13;13001;3571000;4999400
LI22Y;Lavarropa Electrolux 22Kg;Lavarropa  Electrolux carga superior Impel 22 Kg 12 Programas;Lavarropa  Electrolux carga superior Impel 22 Kg 12 Programas;13;13001;3570001;4998001,4
EWFB06E5VSSW;Lavarropa Electrolux  6Kg;Lavarropa Electrolux Carga Frontal 6 Kg 15 Prog Blanco;Lavarropa Electrolux Carga Frontal 6 Kg 15 Prog Blanco;13;13001;2603000;3644200
EWFB08E5VSSW;Lavarropa Electrolux 8Kg ;Lavarropa  Electrolux Carga Frontal 8 Kg 15 Programas  Blanco;Lavarropa  Electrolux Carga Frontal 8 Kg 15 Programas  Blanco;13;13001;3469000;4856600
EWFH10H5EW;Lavarropa Electrolux 10 Kg;Lavarropa  Electrolux Carga Frontal 10 Kg;Lavarropa  Electrolux Carga Frontal 10 Kg;13;13001;5676000;7946400
EWFH11D5QW;Lavarropa Electrolux 11Kg;Lavarropa  Electrolux Carga Frontal Inver 11 Kg 14 Prog B;Lavarropa  Electrolux Carga Frontal Inver 11 Kg 14 Prog B;13;13001;7805001;10927001,4
EDEC06M5JSNW;Secadora Electrolux 6Kg;Secadora  Electrolux Carga Frontal 6 Kg 4 Prog Blanco;Secadora  Electrolux Carga Frontal 6 Kg 4 Prog Blanco;13;13002;2912000;4076800
EDEH08H5EW;Secadora Electrolux 8Kg;Secadora  Electrolux Carga Frontal Invert 8 Kg 8 Prog Bl;Secadora  Electrolux Carga Frontal Invert 8 Kg 8 Prog Bl;13;13002;7991000;11187400
EWD11S;Lavasecarropa Electrolux 11/7Kg;Lavasecarropa  Electrolux caega Frontal Invert. 11 kg de lavado y 7Kg de secado. Inox;Lavasecarropa  Electrolux caega Frontal Invert. 11 kg de lavado y 7Kg de secado. Inox;13;13005;5643000;7900200
EWD08B;Lavasecarropa Electrolux 8/5Kg;Lavasecarropa  Electrolux  Carga Frontal Invert. 8kg de lavado y 5Kg. De secado Blanco;Lavasecarropa  Electrolux  Carga Frontal Invert. 8kg de lavado y 5Kg. De secado Blanco;13;13005;4736001;6630401,4
EHFB10T5MSCQS;Lavavajilla Electrolux 10 ;Lavavajilla  Electrolux 10cubiertos  Serv 6 Programas - Inox;Lavavajilla  Electrolux 10cubiertos  Serv 6 Programas - Inox;15;15008;5564000;7789600
EHFB14T5MSCQS;Lavavajilla Electrolux 14 ;Lavavajilla  Electrolux 14 cubiertos  Serv 6 Prog - Inox;Lavavajilla  Electrolux 14 cubiertos  Serv 6 Prog - Inox;15;15008;6373000;8922200
GT60X;Anafe Electrolux Gas 4 Bocas ;Anafe  Electrolux Gas 4 Bocas Conv Inox;Anafe  Electrolux Gas 4 Bocas Conv Inox;15;15004;1497000;2095800
GC58V;Anafe Electrolux Gas 4 Bocas;Anafe  Electrolux Gas 4 Bocas Vidrio Negro;Anafe  Electrolux Gas 4 Bocas Vidrio Negro;15;15004;1198000;1677200
GT75X;Anafe  Electrolux Gas 5 Bocas ;Anafe  Electrolux Gas 5 Bocas Conv Inox;Anafe  Electrolux Gas 5 Bocas Conv Inox;15;15004;1616000;2262400
ETIH3022EMB;Anafe Electrolux Induccion 2 ;Anafe Electrolux Induccion 2 Bocas 14 Pot;Anafe Electrolux Induccion 2 Bocas 14 Pot;15;15004;2390000;3346000
EHED63CS;Anafe  Electrolux Induccion 4 ;Anafe  Electrolux Induccion   4 Bocas 9 Pot Negro;Anafe  Electrolux Induccion   4 Bocas 9 Pot Negro;15;15004;3933001;5506201,4
ETEF24F7ESB;Anafe  Electrolux Vitro 4 Horn;Anafe Electrolux Vitroceramica 4 Hornallas;Anafe Electrolux Vitroceramica 4 Hornallas;15;15004;3221000;4509400
52SMC;Cocina  Electrolux 4 Bocas 59 L 1 Horno;Cocina  Electrolux 4 Bocas 59 Litros 1 Horno Blanco;Cocina  Electrolux 4 Bocas 59 Litros 1 Horno Blanco;15;15006;1754000;2455600
56DEB;Cocina  Electrolux 4 Bocas 69/39 L 2 Horno;Cocina  Electrolux 4 Bocas 69/39 Litros 2 Horno Blan;Cocina  Electrolux 4 Bocas 69/39 Litros 2 Horno Blan;15;15006;4635000;6489000
50SSC;Cocina  Electrolux 4 Bocas 57 L 1 Horno;Cocina  Electrolux 4 Bocas 57 Litros 1 Horno Silver;Cocina  Electrolux 4 Bocas 57 Litros 1 Horno Silver;15;15006;1622000;2270800
56DAX;Cocina  Electrolux 4 Bocas 69/39 L 2 Horno;Cocina  Electrolux 4 Bocas 69/39 Litros 2 Horno Silv;Cocina  Electrolux 4 Bocas 69/39 Litros 2 Horno Silv;15;15006;4841000;6777400
50SBC;Cocina  Electrolux 4 Bocas 57 L 1 Horno;Cocina  Electrolux 4 Bocas 57 Litros 1 Horno Blanco;Cocina  Electrolux 4 Bocas 57 Litros 1 Horno Blanco;15;15006;1559000;2182600
50SBF;Cocina  Electrolux 4 Bocas 57 L 1 Horno;Cocina  Electrolux 4 Bocas 57 Litros 1 Horno Blanca;Cocina  Electrolux 4 Bocas 57 Litros 1 Horno Blanca;15;15006;1514000;2119600
56DBQ;Cocina  Electrolux 4 Bocas 67,7/38,8 ;Cocina  Electrolux 4 Bocas 67,7/38,8 2 Hornos Silv;Cocina  Electrolux 4 Bocas 67,7/38,8 2 Hornos Silv;15;15006;4635000;6489000
56DXQ;Cocina  Electrolux 4 Bocas 69/39 L ;Cocina  Electrolux 4 Bocas 69/39 Litros 2 Horno Silv;Cocina  Electrolux 4 Bocas 69/39 Litros 2 Horno Silv;15;15006;4841000;6777400
56TAX;Cocina  Electrolux 4 Bocas 59L ;Cocina  Electrolux 4 Bocas 59Litros C/ Horno Silver;Cocina  Electrolux 4 Bocas 59Litros C/ Horno Silver;15;15006;3556000;4978400
56GXQ;Cocina  Electrolux 4 Bocas 69,5 Lts;Cocina  Electrolux 4 Bocas 69,5 Lts C/ Horno - Silve;Cocina  Electrolux 4 Bocas 69,5 Lts C/ Horno - Silve;15;15006;4017000;5623800
76XDR;Cocina  Electrolux 5 Bocas 94/39 L 2 Horno;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Horno Gris;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Horno Gris;15;15006;5843000;8180200
76BDR;Cocina  Electrolux 5 Bocas 94/39 L 2 Horno;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Negro;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Negro;15;15006;5960000;8344000
76SAS;Cocina  Electrolux 5 Bocas 96L;Cocina  Electrolux 5 Bocas 96 Litros 1 Horno Silver;Cocina  Electrolux 5 Bocas 96 Litros 1 Horno Silver;15;15006;4527001;6337801
76RKS;Cocina  Electrolux A Gas 5 Bocas;Cocina  Electrolux A Gas 5 Bocas;Cocina  Electrolux A Gas 5 Bocas;15;15006;4515000;6321000
76DTX;Cocina  Electrolux 5 Bocas 75/28L ;Cocina  Electrolux 5 Bocas 75/28 Litros 2 Hornos Sil;Cocina  Electrolux 5 Bocas 75/28 Litros 2 Hornos Sil;15;15006;5925000;8295000
76STB;Cocina  Electrolux 5 Bocas 93L ;Cocina  Electrolux 5 Bocas 93 Litros 1 Horno Blanco;Cocina  Electrolux 5 Bocas 93 Litros 1 Horno Blanco;15;15006;4224000;5913600
76XGD;Cocina  Electrolux 5 Bocas 94/39L;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Sil;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Sil;15;15006;8253000;11554200
76DXR;Cocina  Electrolux 5 Bocas 94,5/38,8 Lts;Cocina  Electrolux 5 Bocas 94,5/38,8 Lts. 2Hornos Sl;Cocina  Electrolux 5 Bocas 94,5/38,8 Lts. 2Hornos Sl;15;15006;5843000;8180200
