epcodi;epdesc;epdescl;epdescl;effami;efclas;Costo ;epprelis
com001;Aspiradora  Wasko Energy 20L;Aspiradora iradora Wasko Energy 1200W 20L 220V Agua Polvo;Aspiradora iradora Wasko Energy 1200W 20L 220V Agua Polvo;35;35001;944000;1321000
com002;Aspiradora  Wask AeroClean 12L;Aspiradora iradora Wasko Aero Clean 1200W 12L 220V Ag-Polvo;Aspiradora iradora Wasko Aero Clean 1200W 12L 220V Ag-Polvo;35;35001;911000;1276000
com003;Aspiradora  Wasko Poptech 1L;Aspiradora iradora Wasko Poptech 600W 1L 220V Polvo;Aspiradora iradora Wasko Poptech 600W 1L 220V Polvo;35;35001;395000;552000
com004;Aspiradora  Wasko Duster 25L;Aspiradora iradora Wasko Duster 1200W 25L 220V Ag-Plv-S;Aspiradora iradora Wasko Duster 1200W 25L 220V Ag-Plv-S;35;35001;1012000;1417000
com005;Aspiradora  Wasko Plus 1,5L;Aspiradora iradora Wasko Ambiance Plus1600W 1,5L 220V-P;Aspiradora iradora Wasko Ambiance Plus1600W 1,5L 220V-P;35;35001;538000;753000
com006;Aspiradora  Aeroplus 10L ;Aspiradora ir. Aeroplus 1200W 10L Wasko Polvo;Aspiradora ir. Aeroplus 1200W 10L Wasko Polvo;35;35001;637000;892000
com007;Aspiradora  Wasko Inox 20L;Aspiradora iradora Wasko Inox 20L 1200W 220V Ag-Plv;Aspiradora iradora Wasko Inox 20L 1200W 220V Ag-Plv;35;35001;876000;1226000
com008;Aspiradora  Wasko Inox Duo 75L;Aspiradora iradora Wasko Inox Duo2X1200W 75L 220V Ag-Po;Aspiradora iradora Wasko Inox Duo2X1200W 75L 220V Ag-Po;35;35001;2871000;4020000
com009;Aspiradora  Was Petc Turb ;Aspiradora iradora Wasko Petc.Amb Turb 2000W 1,8 220V P;Aspiradora iradora Wasko Petc.Amb Turb 2000W 1,8 220V P;35;35001;605000;847000
com010;Aspiradora  Wasko Gtprofi118L;Aspiradora iradora Wasko Gtprofi1.200W 18L 220Vag-Plv-S;Aspiradora iradora Wasko Gtprofi1.200W 18L 220Vag-Plv-S;35;35001;727000;1018000
com011;Lavadora Wasko 1.600W;Lavadora Wasko 1.600W 1900Lbs Total Stop;Lavadora Wasko 1.600W 1900Lbs Total Stop;35;35007;1558000;2181000
com012;Lavadora Wasko Lavor 2200W;Lav.Wasko Lavor 2200W 2320Lbs 8.108.055C;Lav.Wasko Lavor 2200W 2320Lbs 8.108.055C;35;35007;1929000;2700000
com013;Hidrolavador Wasko Maxi 1400W ;Hidrol. Wasko Maxi 1400W  330L/H 70Bar;Hidrol. Wasko Maxi 1400W  330L/H 70Bar;35;35007;757000;1059000
com014;Lavadora Wasko Lavor 1900W ;Lav.Wasko Lavor 1900W 2103Lbs 8.109.072C;Lav.Wasko Lavor 1900W 2103Lbs 8.109.072C;35;35007;959000;1342000
com015;Hidrolavadora Wasko Bravo 1600;Hidrol. Wasko Bravo 1600W 360L/H  90Bar;Hidrol. Wasko Bravo 1600W 360L/H  90Bar;35;35007;1105000;1547000
com016;Hidrolavadora Tipo Fx F 2200W ;Hidrolavadora Tipo Fx Forte 2200W Wasko;Hidrolavadora Tipo Fx Forte 2200W Wasko;35;35007;3529000;4940000
com017;Lavadora Wasko Podium 2000W;Lavadora Wasko Podium 2000W 220V 50Hz;Lavadora Wasko Podium 2000W 220V 50Hz;35;35007;2678000;3750000
com018;Desbrozadora Daewoo Cabezal;Desbrozadora Daewoo Cabezal Nylon 43Cc;Desbrozadora Daewoo Cabezal Nylon 43Cc;35;35011;1135000;1589000
com019;Cortacesped Naft. Wasko 5H;Cortacesped Naft. Wasko 5Hp 50Cm C/Reg;Cortacesped Naft. Wasko 5Hp 50Cm C/Reg;35;35011;1568000;2195000
com020;Desbrozadora Wasko 43Cc;Desbrozadora Wasko 43Cc;Desbrozadora Wasko 43Cc;35;35011;932000;1305000
com021;Cortacésped Wasko  1200W;Cortacésped Wasko S.Lateralc/Motor 1200W;Cortacésped Wasko S.Lateralc/Motor 1200W;35;35011;783000;1095000
com022;Cortacesped Wasko C/Bols;Cortacesped Wasko C/Bolsa Rec.Motor1000W;Cortacesped Wasko C/Bolsa Rec.Motor1000W;35;35011;674000;943000
com023;Cortacésped Wasko C/Bolsa;Cortacésped Wasko C/Bolsa.Motor De1600W;Cortacésped Wasko C/Bolsa.Motor De1600W;35;35011;984000;1377000
com024;Cortacesped Naft. Wasko 5Hp;Cortacesped Naft. Wasko 5Hp C/ Rec Y Reg;Cortacesped Naft. Wasko 5Hp C/ Rec Y Reg;35;35011;1844000;2581000
com025;Generador Wasko Diesel Ab;Generador Wasko Diesel Ab. 6 Kva 220V;Generador Wasko Diesel Ab. 6 Kva 220V;35;35008;5931000;8303000
com026;Generador Wasko Naft Abierto;Generador Wasko Naft Abierto 2 Kva 220V;Generador Wasko Naft Abierto 2 Kva 220V;35;35008;1921000;2689000
com027;Generador Wasko Naft Abierto;Generador Wasko Naft Abierto 6 Kva 220V;Generador Wasko Naft Abierto 6 Kva 220V;35;35008;4146000;5804000
