Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
10662;Split  Jam 12.000 BtuF/C;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc. Horiz. 220V/50Hz-R410A;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc. Horiz. 220V/50Hz-R410A;25;25004;1.620.000;2.268.000
11600;Split  Jam 12.000Btu Eco;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;1.620.000;2.268.000
10664;Split  Jam 18.000Btu F/C ;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc. Horiz. 220V/50Hz-R410A;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc. Horiz. 220V/50Hz-R410A;25;25004;2.620.000;3.668.000
11610;Split  Jam 18.000Btu F/C  Eco;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;2.620.000;3.668.000
11611;Split  Jam 24.000Btu F/C  Eco;Split  Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;3.700.000;5.180.000
11414;Split  Jam 36.000Btu F/C  Eco;Split  Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;6.100.000;8.540.000
5446;Split  Jam 48.000 Btu ;Split  Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz, R410A;Split  Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz, R410A;25;25004;7.850.000;10.990.000
11613;Split  Jam 60.000Btu F/C Eco;Split  Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz-R410A Eco;Split  Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz-R410A Eco;25;25004;8.600.000;12.040.000
9990;Bebedero Jam De Pie   F/C ;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts;5;5003;700.000;980.000
11466;Cocina  A Gas Jam Eva  5H ;Cocina  A Gas Jam Eva Top Glass 5Hb Negro;Cocina  A Gas Jam Eva Top Glass 5Hb Negro;15;15006;1.250.000;1.750.000
11372;Cocina A Gas Jam Eva  4H Negro;Cocina A Gas Jam Eva Top Glass 4Hb Negro;Cocina A Gas Jam Eva Top Glass 4Hb Negro;15;15006;925.000;1.295.000
9835;Cocina Jam Estandar Negra  4H;Cocina Jam Estandar Negra  4H;Cocina Jam Estandar Negra  4H;15;15006;450.000;630.000
9838;Cocina Jam  4H C/ Horno Elect;Cocina Jam Mod. Combi 4H Con Horno Electrico Blanco;Cocina Jam Mod. Combi 4H Con Horno Electrico Blanco;15;15006;600.000;840.000
9839;Cocina Jam  4H C/ Inox;Cocina Jam Mod. Combi 4H Con Horno Electrico Inox;Cocina Jam Mod. Combi 4H Con Horno Electrico Inox;15;15006;680.000;952.000
9878;Cocina Jam 4H Safiro Blanco;Cocina Jam Mod. 4H Safiro Blanco;Cocina Jam Mod. 4H Safiro Blanco;15;15006;530.000;742.000
