Codigo Proveedor ;Nombre ;Nombre Largo ;Caracteristicas;Familia;CLASE ;COSTO ;LISTA 
BPB 182;BANCO PLEGABLE (BLANCA) UNIQUE;BANCO PLEGABLE (BLANCA) UNIQUE - MEDIAS 1,83CM* 30CM* 44 CM;Medias 1,83cm* 30cm* 44 cm;2;2005;259000;363000
BPR 183;BANCO PLEAGABLE RATTAN UNIQUE;BANCO PLEAGABLE RATTAN UNIQUE - MEDIAS 1,83CM* 30CM* 44 CM;Medias 1,83cm* 30cm* 44 cm;2;2005;297220;446000
MAN 31;MESA AJUSTABLE PLEGABLE UNIQUE;MESA AJUSTABLE PLEGABLE Y ESTRUCTURA DE ACERO UNIQUE;Medida 70cm* 48cm * 48/60/ 74cm;2;2005;127750;192000
MCB 087;MESA CUADRADA 0.87 UNIQUE;MESA CUADRADA 0.87 UNIQUE - MEDIAS  86,5CM * 86,5CM * 74CM;Medias  86,5cm * 86,5cm * 74cm;2;2005;273000;410000
MPGB 200;MESA PLEGABLE UNIQUE;MESA PLEGABLE GRANDE BLANCO Y ESTRUCTURA DE ACERO (TABLON) UNIQUE ; Medidas  1,98 cm * 90cm * 74cm;2;2005;533750;801000
MPRB 122;MESA REDONDA 1,22  UNIQUE;MESA REDONDA 1,22  UNIQUE - MEDIAS 1,22 * 74CM ;Medias 1,22 * 74cm  .  Capacidad 6 personas;2;2005;434000;651000
MPRB 152;MESA REDONDA 1,52 UNIQUE;MESA REDONDA 1,52 UNIQUE - MEDIAS 1,52 * 74CM ;Medias 1,52 * 74cm  .  Capacidad 8 personas;2;2005;626500;940000
MPRR 180;MESA RECTANGULAR 1.80 UNIQUE;MESA RECTANGULAR 1,80 (MARRON) UNIQUE - MEDIDAS 1,80 * 74 * 74 CM ;Medidas 1,80 * 74 * 74 cm  .  Capacidad 6 personas;2;2005;402710;605000
RC1C;SOPORTE GIRAT UNIQUE 10 A 26;SOPORTE GIRATORIO UNIQUE DE 10  A 26  CAPACIDAD  15 KG MOD. RC-1C;Capacidad  15 Kg Mod. RC . 1C  .  VESA 100*100mm  .  Extencion de la pared 34cm;9;9002;210000;294000
RC1G;SOPORTE GIRAT UNIQUE 32 A 84;SOPORTE GIRATORIO UNIQUE DE 32 A 84  CAPACIDAD  60 KG MOD. RC-1G;Capacidad  60 Kg Mod. RC . 1G  .  VESA 600*400mm  .  Extencion de la pared 55cm;9;9002;665000;931000
