Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista;
10662;Split  Jam 12.000 BtuF/C;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc. Horiz. 220V/50Hz-R410A;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc. Horiz. 220V/50Hz-R410A;25;25004;1620000;2268000;
11600;Split  Jam 12.000Btu Eco;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;1620000;2268000;
10664;Split  Jam 18.000Btu F/C ;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc. Horiz. 220V/50Hz-R410A;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc. Horiz. 220V/50Hz-R410A;25;25004;2620000;3668000;
11610;Split  Jam 18.000Btu F/C  Eco;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;2620000;3668000;
11611;Split  Jam 24.000Btu F/C  Eco;Split  Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;3700000;5180000;
11414;Split  Jam 36.000Btu F/C  Eco;Split  Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;Split  Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz-R410A Eco;25;25004;6100000;8540000;
5446;Split  Jam 48.000 Btu ;Split  Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz, R410A;Split  Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz, R410A;25;25004;7850000;10990000;
11613;Split  Jam 60.000Btu F/C Eco;Split  Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz-R410A Eco;Split  Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz-R410A Eco;25;25004;8600000;12040000;
9990;Bebedero Jam De Pie   F/C ;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts;5;5003;700000;980000;
11466;Cocina  A Gas Jam Eva  5H ;Cocina  A Gas Jam Eva Top Glass 5Hb Negro;Cocina  A Gas Jam Eva Top Glass 5Hb Negro;15;15006;1250000;1750000;
11372;Cocina A Gas Jam Eva  4H Negro;Cocina A Gas Jam Eva Top Glass 4Hb Negro;Cocina A Gas Jam Eva Top Glass 4Hb Negro;15;15006;925000;1295000;
9835;Cocina Jam Estandar Negra  4H;Cocina Jam Estandar Negra  4H;Cocina Jam Estandar Negra  4H;15;15006;450000;630000;
9838;Cocina Jam  4H C/ Horno Elect;Cocina Jam Mod. Combi 4H Con Horno Electrico Blanco;Cocina Jam Mod. Combi 4H Con Horno Electrico Blanco;15;15006;600000;840000;
9839;Cocina Jam  4H C/ Inox;Cocina Jam Mod. Combi 4H Con Horno Electrico Inox;Cocina Jam Mod. Combi 4H Con Horno Electrico Inox;15;15006;680000;952000;
9878;Cocina Jam 4H Safiro Blanco;Cocina Jam Mod. 4H Safiro Blanco;Cocina Jam Mod. 4H Safiro Blanco;15;15006;530000;742000;
