;nom corto ;nom largo ;detalle;fam;clase;;
1896;Microondas Jam 36Lts Mod Ag036Afk Grill Blanco Cristal De Puerta 1000W 230V 50Hz;Microondas Jam 36Lts Mod Ag036Afk Grill Blanco Cristal De Puerta 1000W 230V/50Hz;Microondas Jam 36Lts Mod Ag036Afk Grill Blanco Cristal De Puerta 1000W 230V/50Hz;15;15003;700000;980000
1901;Plancha De Vapor Oster Gcstbs4801L 053 Base Antiadherente 1200W Color Azul;Plancha De Vapor Oster Gcstbs4801L-053 Base Antiadherente/1200W/Color Azul;Plancha De Vapor Oster Gcstbs4801L-053 Base Antiadherente/1200W/Color Azul;13;13003;120000;167000
2154;Plancha Midas Fierro Clasico;Plancha Midas Fierro-Clasico;Plancha Midas Fierro-Clasico;13;13003;57000;80000
2436;Cocina Vitroceramica Jam 400Vc 2 Quemadores Tactil Premium;Cocina Vitroceramica Jam 400Vc 2 Quemadores Tactil Premium;Cocina Vitroceramica Jam 400Vc 2 Quemadores Tactil Premium;15;15004;650000;910000
2653;Ventilador De Techo Wahson 220V 50Hz Art.No.Sh56B1 56;Ventilador De Techo Wahson 220V 50Hz Art.No.Sh56B1 56;Ventilador De Techo Wahson 220V 50Hz Art.No.Sh56B1 56;25;25002;370000;518000
160615;Armario Politorno 160079;Armario Politorno Multiuso Goias 160079 Tabaco;Armario Politorno Multiuso Goias 160079 Tabaco;2;2002;570000;798000
3001;Armario Politorno Organiz;Armario Politorno Organizador Limeira Alto 3265 Blanco;Armario Politorno Organizador Limeira Alto 3265 Color Disponible Blanco - Castanho - Imbuia;2;2002;410000;574000
3008;Armario Politorno Organizador Coimbra 2437 Tabaco;Armario Politorno Organizador Coimbra 2437 Tabaco;Armario Politorno Organizador Coimbra 2437 Tabaco;2;2002;650000;910000
3005;Armario Politorno Organiz;Armario Politorno Organizador Coimbra 2437- Blanco;Armario Politorno Organizador Coimbra 2437- Colores Disponibles Blanco  Castanho  Artico  Roble Claro;2;2002;650000;910000
11878;Bebedero Jam De Pie  Myl1675S;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts*;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts*;5;5003;850000;1190000
3115;Comoda Politorno 05 Cajones  2541;Comoda Politorno 05 Cajones  2541;Comoda Politorno 05 Cajones Blanco/Azul 2541;2;2002;450000;630000
3319;Cuna Politorno Blanca Blanca 2542;Cuna Politorno Blanca/Blanca 2542;Cuna Politorno Blanca/Blanca 2542;2;2003;465000;651000
3320;Cuna Politorno Orlando Blanco Azul Uv 2542;Cuna Politorno Orlando Blanco/Azul Uv 2542;Cuna Politorno Orlando Blanco/Azul Uv 2542;2;2003;465000;651000
11441;Biblioteca  Politorno 200076;Biblioteca  Politorno Con Puertas 200076- 2 Puertas 3 Compartimientos;Biblioteca  Politorno Con Puertas 200076- 2 Puertas 3 Compartimientos Color Disponible Negro Tabaco ;2;2004;470000;658000
3387;Ropero Politorno Orlando 2 Puertas   2 Cajones Blanco Azul 2537;Ropero Politorno Orlando 2 Puertas - 2 Cajones Blanco/Azul 2537;Ropero Politorno Orlando 2 Puertas - 2 Cajones Blanco/Azul 2537;2;2004;715000;1001000
3502;Bar Politorno Laguna 2285 Tabaco;Bar Politorno Laguna 2285 Tabaco;Bar Politorno Laguna 2285 Tabaco;2;2003;360000;504000
3912;Microondas Jam 20Lts Mod Ag720C3D Panel Digital Espejado Inox Con Grill;Microondas Jam 20Lts Mod Ag720C3D Panel Digital Espejado Inox Con Grill;Microondas Jam 20Lts Mod Ag720C3D Panel Digital Espejado Inox Con Grill;15;15003;500000;700000
11931;Cafetera Oster Bvstdcs12B 053;Cafetera Oster Bvstdcs12B-053 12 Tazas Con Indicador De Encendido  220Vts;Cafetera Oster Bvstdcs12B-053 12 Tazas Con Indicador De Encendido  220Vts;1;1016;310000;434000
3981;Bar Politorno Andes 2258 Imbuia;Bar Politorno Andes 2258 Imbuia;Bar Politorno Andes 2258 Imbuia;2;2003;615000;861000
3341;Cama Cuna Politorno Madri;Cama Cuna Politorno Madri Funcional Blanca 2270 Con Comoda;Cama Cuna Politorno Madri Funcional Blanca 2270 Con Comoda;2;2003;850000;1190000
4025;Licuadora Oster 15 Lts 8 Vel Blstmg B00 051 450W Color Negro J. Vidrio;Licuadora Oster 15 Lts 8 Vel Blstmg-B00-051 450W Color Negro J. Vidrio;Licuadora Oster 15 Lts 8 Vel Blstmg-B00-051 450W Color Negro J. Vidrio;1;1003;382000;5345000
11807;Cocina  Anafe Jam 4H Eva Empot;Cocina  Anafe Jam 4H Eva Premium Empotrable  Vidrio Negro;Cocina  Anafe Jam 4H Eva Premium Empotrable  Vidrio Negro;15;15002;600000;840000
4030;Mini Vasos De Plastico Oster Para Licuadora 004888 011 000   2 Mini Vasos;Mini Vasos De Plastico Oster Para Licuadora 004888-011-000   2 Mini Vasos;Mini Vasos De Plastico Oster Para Licuadora 004888-011-000   2 Mini Vasos;15;15007;77000;108000
11808;Cocina  Anafe Jam 5H Eva Prem;Cocina  Anafe Jam 5H Eva Premium Empotrable  Vidrio Negro;Cocina  Anafe Jam 5H Eva Premium Empotrable  Vidrio Negro;15;15002;700000;980000
4055;Sandwichera Oster Plato Removible 700W Ckstsm3891 053 2 Panes;Sandwichera Oster Plato Removible 700W Ckstsm3891-053 2 Panes;Sandwichera Oster Plato Removible 700W Ckstsm3891-053 2 Panes;1;1005;272000;3808000
11623;Cocina  Vitro Jam Am If401;Cocina  Vitroceramica Jam Anafe Am-If401 4 Hornallas;Cocina  Vitroceramica Jam Anafe Am-If401 4 Hornallas;15;15004;1000000;1400000
4062;Olla Oster Electrica  Arrocera 1.8 Lts 004729 053 000 Luz Indicad Y Con Espatula;Olla Oster Electrica  Arrocera 1.8 Lts 004729-053-000 Luz Indicad Y Con Espatula;Olla Oster Electrica  Arrocera 1.8 Lts 004729-053-000 Luz Indicad Y Con Espatula;15;15007;315000;4401000
4069;Abrelatas Oster Electrico 003125 051 000;Abrelatas Oster Electrico 003125-051-000;Abrelatas Oster Electrico 003125-051-000;15;15007;220000;308000
4117;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Bpst02 B00 053 Profesional;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Bpst02-B00-053 Profesional;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Bpst02-B00-053 Profesional;1;1003;671000;9389000
4118;Licuadora Oster 3 Vel V.Vidrio 600W 004655 053 000 Gris;Licuadora Oster 3 Vel V.Vidrio 600W 004655-053-000 Gris;Licuadora Oster 3 Vel V.Vidrio 600W 004655-053-000 Gris;1;1003;595000;8324000
4200;Biblioteca Politorno Con Puertas 2115   Artico 2 Puertas 3 Compartimientos;Biblioteca Politorno Con Puertas 2115 - Artico 2 Puertas 3 Compartimientos;Biblioteca Politorno Con Puertas 2115 - Artico 2 Puertas 3 Compartimientos;2;2004;470000;658000
4210;Zapatero Politorno Itu 2151  Tabaco 1 Pta;Zapatero Politorno Itu 2151- Tabaco 1 Pta;Zapatero Politorno Itu 2151- Tabaco 1 Pta;2;2002;1080000;1512000
4213;Licuadora Oster 1.5Lts 8 Veloc. Jarra De Vidrio Blstmg T15 051 Color Calypso;Licuadora Oster 1.5Lts 8 Veloc. Jarra De Vidrio Blstmg-T15-051 Color Calypso;Licuadora Oster 1.5Lts 8 Veloc. Jarra De Vidrio Blstmg-T15-051 Color Calypso;1;1003;382000;5345000
4215;Jarra Oster Purificadora De Agua Hasta 375 Lts  Wppw001;Jarra Oster Purificadora De Agua Hasta 375 Lts  Wppw001;Jarra Oster Purificadora De Agua Hasta 375 Lts  Wppw001;1;1011;349000;4873000
11836;Cocina A Gas Jam Combi Tit 4H;Cocina A Gas Jam Mod Combi Titanio Gris 4H;Cocina A Gas Jam Mod Combi Titanio Gris 4H;15;15006;670000;938000
4239;Metalcubas Churrasquera A Gas Compacto Cbg 450C;Metalcubas Churrasquera A Gas Compacto Cbg-450C;Metalcubas Churrasquera A Gas Compacto Cbg-450C;15;15007;866000;1213000
4263;Zapatero Politorno Itajai 2210 Tabaco C  Espejo;Zapatero Politorno Itajai 2210 Tabaco C/ Espejo;Zapatero Politorno Itajai 2210 Tabaco C/ Espejo;2;2002;465000;651000
4376;Horno Elect. Oster 10 Lts Tssttv10Ltb 053 Plateado Cronometro 30Min 90 230øC;Horno Elect. Oster 10 Lts Tssttv10Ltb-053 Plateado Cronometro 30Min 90/230øC;Horno Elect. Oster 10 Lts Tssttv10Ltb-053 Plateado Cronometro 30Min 90/230øC;15;15002;396000;554000
4480;Licuadora Oster 004134 053 000 3V 600W 125Lts Jarra Vidrio Tritura Hielo Azul;Licuadora Oster 004134-053-000 3V 600W 125Lts Jarra Vidrio Tritura Hielo Azul;Licuadora Oster 004134-053-000 3V 600W 125Lts Jarra Vidrio Tritura Hielo Azul;1;1003;595000;8324000
4661;Olla Oster Arrocera  10 Tazas 18 Lts. 006029 053 000 Color Gris Control Termico;Olla Oster Arrocera  10 Tazas 18 Lts. 006029-053-000 Color Gris Control Termico;Olla Oster Arrocera  10 Tazas 18 Lts. 006029-053-000 Color Gris Control Termico;15;15007;361000;5049000
4664;Corta Pelo Oster Mxpro Potenete Motor  Cuchillas Ajustables 076070 010  051;Corta Pelo Oster Mxpro Potenete Motor  Cuchillas Ajustables 076070-010- 051;Corta Pelo Oster Mxpro Potenete Motor  Cuchillas Ajustables 076070-010- 051;28;28002;306000;4272000
4684;Ventilador De Techo Jam Tcf 604 Motor Pesado 3 Alas 5Vel. 80W Blanco 56;Ventilador De Techo Jam Tcf-604 Motor Pesado 3 Alas 5Vel. 80W Blanco 56;Ventilador De Techo Jam Tcf-604 Motor Pesado 3 Alas 5Vel. 80W Blanco 56;25;25002;170000;238000
4832;Secarropas Jam 6Kg. Mod.60 014 4 Programas Blanco;Secarropas Jam 6Kg. Mod.60/014 4 Programas Blanco;Secarropas Jam 6Kg. Mod.60/014 4 Programas Blanco;13;13002;1550000;2170000
5198;Ropero Politorno 2 Puertas 2 Cajones Ref: 180081 Artico;Ropero Politorno 2 Puertas 2 Cajones Ref: 180081 Artico;Ropero Politorno 2 Puertas 2 Cajones Ref: 180081 Artico;2;2004;430000;602000
5203;Ventilador De Pie Jam Fst 50 20'' 5 Aspas Base Redonda;Ventilador De Pie Jam Fst-50 20'' 5 Aspas Base Redonda;Ventilador De Pie Jam Fst-50 20'' 5 Aspas Base Redonda;25;25002;240000;336000
11833;Cocina A Gas Jam Estandar 4H;Cocina A Gas Jam. Mod Estandar 4H Blanco;Cocina A Gas Jam. Mod Estandar 4H Blanco;15;15006;440000;616000
5446;Aire Acondicionador Jam 48.000 Btu Jc 48Zhra F C 380V 50Hz R410A;Aire Acondicionador Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz R410A;Aire Acondicionador Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz R410A;25;25004;7900000;11060000
