;nom corto ;nom largo ;detalle;fam;clase;;;
1896;MICROONDAS JAM 36L BCO ;MICROONDAS JAM 36LTS MOD AG036AFK GRILL BLANCO CRISTAL DE PUERTA 1000W 230V/50HZ;MICROONDAS JAM 36LTS MOD AG036AFK GRILL BLANCO CRISTAL DE PUERTA 1000W 230V/50HZ;15;15003;700000;980000;MICROONDAS JAM 36L BCO 
1901;PLANCHA DE VAPOR OSTER  ;PLANCHA DE VAPOR OSTER GCSTBS4801L-053 BASE ANTIADHERENTE/1200W/COLOR AZUL;PLANCHA DE VAPOR OSTER GCSTBS4801L-053 BASE ANTIADHERENTE/1200W/COLOR AZUL;13;13003;120000;167000;PLANCHA DE VAPOR OSTER  
2154;PLANCHA MIDAS FIERRO-CLASICO;PLANCHA MIDAS FIERRO-CLASICO;PLANCHA MIDAS FIERRO-CLASICO;13;13003;57000;80000;PLANCHA MIDAS FIERRO-CLASICO
2436;COCINA VITRO JAM TACTIL ;COCINA VITROCERAMICA JAM 400VC 2 QUEMADORES TACTIL PREMIUM;COCINA VITROCERAMICA JAM 400VC 2 QUEMADORES TACTIL PREMIUM;15;15004;650000;910000;COCINA VITRO JAM TACTIL 
2653;VENTILADOR DE TECHO WAHSON ;VENTILADOR DE TECHO WAHSON 220V 50HZ ART.NO.SH56B1 56;VENTILADOR DE TECHO WAHSON 220V 50HZ ART.NO.SH56B1 56;25;25002;370000;518000;VENTILADOR DE TECHO WAHSON 
160615;ARMARIO POLITORNO 160079;ARMARIO POLITORNO MULTIUSO GOIAS 160079 TABACO;ARMARIO POLITORNO MULTIUSO GOIAS 160079 TABACO;2;2002;570000;798000;ARMARIO POLITORNO 160079
3001;ARMARIO POLITORNO ORGANIZ;ARMARIO POLITORNO ORGANIZADOR LIMEIRA ALTO 3265 BLANCO;ARMARIO POLITORNO ORGANIZADOR LIMEIRA ALTO 3265 COLOR DISPONIBLE BLANCO - CASTANHO - IMBUIA;2;2002;410000;574000;ARMARIO POLITORNO ORGANIZ
3008;ARMARIO POLITORNO TABACO;ARMARIO POLITORNO ORGANIZADOR COIMBRA 2437 TABACO;ARMARIO POLITORNO ORGANIZADOR COIMBRA 2437 TABACO;2;2002;650000;910000;ARMARIO POLITORNO TABACO
3005;ARMARIO POLITORNO ORGANIZ;ARMARIO POLITORNO ORGANIZADOR COIMBRA 2437- BLANCO;ARMARIO POLITORNO ORGANIZADOR COIMBRA 2437- COLORES DISPONIBLES BLANCO  CASTANHO  ARTICO  ROBLE CLARO;2;2002;650000;910000;ARMARIO POLITORNO ORGANIZ
11878;BEBEDERO JAM DE PIE  MYL1675S;BEBEDERO JAM DE PIE  MYL1675S-W AGUA F/C CAP:20LTS*;BEBEDERO JAM DE PIE  MYL1675S-W AGUA F/C CAP:20LTS*;5;5003;850000;1190000;BEBEDERO JAM DE PIE  MYL1675S
3115;COMODA POLITORNO 05 CAJONES;COMODA POLITORNO 05 CAJONES  2541;COMODA POLITORNO 05 CAJONES BLANCO/AZUL 2541;2;2002;450000;630000;COMODA POLITORNO 05 CAJONES
3319;CUNA POLITORNO BCA;CUNA POLITORNO BLANCA/BLANCA 2542;CUNA POLITORNO BLANCA/BLANCA 2542;2;2003;465000;651000;CUNA POLITORNO BCA
3320;CUNA POLITORNO ORLANDO ;CUNA POLITORNO ORLANDO BLANCO/AZUL UV 2542;CUNA POLITORNO ORLANDO BLANCO/AZUL UV 2542;2;2003;465000;651000;CUNA POLITORNO ORLANDO 
11441;BIBLIOTECA  POLITORNO 200076;BIBLIOTECA  POLITORNO CON PUERTAS 200076- 2 PUERTAS 3 COMPARTIMIENTOS;BIBLIOTECA  POLITORNO CON PUERTAS 200076- 2 PUERTAS 3 COMPARTIMIENTOS COLOR DISPONIBLE NEGRO TABACO ;2;2004;470000;658000;BIBLIOTECA  POLITORNO 200076
