;nom corto ;nom largo ;detalle;fam;clase;;
1896;MICROONDAS JAM 36L BCO ;MICROONDAS JAM 36LTS MOD AG036AFK GRILL BLANCO CRISTAL DE PUERTA 1000W 230V/50HZ;Microondas Jam 36Lts Mod Ag036Afk Grill Blanco Cristal De Puerta 1000W 230V/50Hz;15;15003;700000;980000
1901;PLANCHA DE VAPOR OSTER  ;PLANCHA DE VAPOR OSTER GCSTBS4801L-053 BASE ANTIADHERENTE/1200W/COLOR AZUL;Plancha De Vapor Oster Gcstbs4801L-053 Base Antiadherente/1200W/Color Azul;13;13003;120000;168000
2154;PLANCHA MIDAS FIERRO-CLASICO;PLANCHA MIDAS FIERRO-CLASICO;Plancha Midas Fierro-Clasico;13;13003;57000;80000
2436;COCINA VITRO JAM TACTIL ;COCINA VITROCERAMICA JAM 400VC 2 QUEMADORES TACTIL PREMIUM;Cocina Vitroceramica Jam 400Vc 2 Quemadores Tactil Premium;15;15004;650000;910000
2653;VENTILADOR DE TECHO WAHSON ;VENTILADOR DE TECHO WAHSON 220V 50HZ ART.NO.SH56B1 56;Ventilador De Techo Wahson 220V 50Hz Art.No.Sh56B1 56;25;25002;370000;518000
160615;ARMARIO POLITORNO 160079;ARMARIO POLITORNO MULTIUSO GOIAS 160079 TABACO;Armario Politorno Multiuso Goias 160079 Tabaco;2;2002;570000;798000
3001;ARMARIO POLITORNO ORGANIZ;ARMARIO POLITORNO ORGANIZADOR LIMEIRA ALTO 3265 BLANCO;Armario Politorno Organizador Limeira Alto 3265 Color Disponible Blanco - Castanho - Imbuia;2;2002;410000;574000
3008;ARMARIO POLITORNO TABACO;ARMARIO POLITORNO ORGANIZADOR COIMBRA 2437 TABACO;Armario Politorno Organizador Coimbra 2437 Tabaco;2;2002;650000;910000
3005;ARMARIO POLITORNO ORGANIZ;ARMARIO POLITORNO ORGANIZADOR COIMBRA 2437- BLANCO;Armario Politorno Organizador Coimbra 2437- Colores Disponibles Blanco  Castanho  Artico  Roble Claro;2;2002;650000;910000
11878;BEBEDERO JAM DE PIE  MYL1675S;BEBEDERO JAM DE PIE  MYL1675S-W AGUA F/C CAP:20LTS*;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts*;5;5003;850000;1190000
3115;COMODA POLITORNO 05 CAJONES;COMODA POLITORNO 05 CAJONES  2541;Comoda Politorno 05 Cajones Blanco/Azul 2541;2;2002;450000;630000
3319;CUNA POLITORNO BCA;CUNA POLITORNO BLANCA/BLANCA 2542;Cuna Politorno Blanca/Blanca 2542;2;2003;465000;651000
3320;CUNA POLITORNO ORLANDO ;CUNA POLITORNO ORLANDO BLANCO/AZUL UV 2542;Cuna Politorno Orlando Blanco/Azul Uv 2542;2;2003;465000;651000
11441;BIBLIOTECA  POLITORNO 200076;BIBLIOTECA  POLITORNO CON PUERTAS 200076- 2 PUERTAS 3 COMPARTIMIENTOS;Biblioteca  Politorno Con Puertas 200076- 2 Puertas 3 Compartimientos Color Disponible Negro Tabaco ;2;2004;470000;658000
3387;ROPERO POLITORNO ORLANDO ;ROPERO POLITORNO ORLANDO 2 PUERTAS - 2 CAJONES BLANCO/AZUL 2537;Ropero Politorno Orlando 2 Puertas - 2 Cajones Blanco/Azul 2537;2;2004;715000;1001000
3502;BAR POLITORNO LAGUNA TABACO;BAR POLITORNO LAGUNA 2285 TABACO;Bar Politorno Laguna 2285 Tabaco;2;2003;360000;504000
3912;MICROONDAS JAM 20L INOX ;MICROONDAS JAM 20LTS MOD AG720C3D PANEL DIGITAL ESPEJADO INOX CON GRILL;Microondas Jam 20Lts Mod Ag720C3D Panel Digital Espejado Inox Con Grill;15;15003;500000;700000
11931;CAFETERA OSTER BVSTDCS12B;CAFETERA OSTER BVSTDCS12B-053 12 TAZAS CON INDICADOR DE ENCENDIDO  220VTS;Cafetera Oster Bvstdcs12B-053 12 Tazas Con Indicador De Encendido  220Vts;1;1016;310000;434000
3981;BAR POLITORNO ANDES  IMBUIA;BAR POLITORNO ANDES 2258 IMBUIA;Bar Politorno Andes 2258 Imbuia;2;2003;615000;861000
3341;CAMA CUNA POLITORNO MADRI;CAMA CUNA POLITORNO MADRI FUNCIONAL BLANCA 2270 CON COMODA;Cama Cuna Politorno Madri Funcional Blanca 2270 Con Comoda;2;2003;850000;1190000
4025;LICUADORA OSTER 1,5 L NEGRO;LICUADORA OSTER 15 LTS 8 VEL BLSTMG-B00-051 450W COLOR NEGRO J. VIDRIO;Licuadora Oster 15 Lts 8 Vel Blstmg-B00-051 450W Color Negro J. Vidrio;1;1003;382000;535000
11807;COCINA  ANAFE JAM 4H EVA EMPOT;COCINA  ANAFE JAM 4H EVA PREMIUM EMPOTRABLE  VIDRIO NEGRO;Cocina  Anafe Jam 4H Eva Premium Empotrable  Vidrio Negro;15;15002;600000;840000
4030;MINI VASOS DE PLASTICO OSTER ;MINI VASOS DE PLASTICO OSTER PARA LICUADORA 004888-011-000   2 MINI VASOS;Mini Vasos De Plastico Oster Para Licuadora 004888-011-000   2 Mini Vasos;15;15007;77000;108000
11808;COCINA  ANAFE JAM 5H EVA PREM;COCINA  ANAFE JAM 5H EVA PREMIUM EMPOTRABLE  VIDRIO NEGRO;Cocina  Anafe Jam 5H Eva Premium Empotrable  Vidrio Negro;15;15002;700000;980000
4055;SANDWICHERA OSTER ;SANDWICHERA OSTER PLATO REMOVIBLE 700W CKSTSM3891-053 2 PANES;Sandwichera Oster Plato Removible 700W Ckstsm3891-053 2 Panes;1;1005;272000;381000
11623;COCINA  VITRO JAM AM IF401;COCINA  VITROCERAMICA JAM ANAFE AM-IF401 4 HORNALLAS;Cocina  Vitroceramica Jam Anafe Am-If401 4 Hornallas;15;15004;1000000;1400000
4062;OLLA OSTER ELECTRICA  1.8 L;OLLA OSTER ELECTRICA  ARROCERA 1.8 LTS 004729-053-000 LUZ INDICAD Y CON ESPATULA;Olla Oster Electrica  Arrocera 1.8 Lts 004729-053-000 Luz Indicad Y Con Espatula;15;15007;315000;441000
4069;ABRELATAS OSTER ELECTRICO ;ABRELATAS OSTER ELECTRICO 003125-051-000;Abrelatas Oster Electrico 003125-051-000;15;15007;220000;308000
4117;LICUADORA OSTER 1.5 L;LICUADORA OSTER 1.5 LTS 2 VEL J.VIDRIO BPST02-B00-053 PROFESIONAL;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Bpst02-B00-053 Profesional;1;1003;671000;940000
4118;LICUADORA OSTER 3 VEL ;LICUADORA OSTER 3 VEL V.VIDRIO 600W 004655-053-000 GRIS;Licuadora Oster 3 Vel V.Vidrio 600W 004655-053-000 Gris;1;1003;595000;833000
4200;BIBLIOTECA POLITORNO C/ PTAS ;BIBLIOTECA POLITORNO CON PUERTAS 2115 - ARTICO 2 PUERTAS 3 COMPARTIMIENTOS;Biblioteca Politorno Con Puertas 2115 - Artico 2 Puertas 3 Compartimientos;2;2004;470000;658000
4210;ZAPATERO POLITORNO ITU;ZAPATERO POLITORNO ITU 2151- TABACO 1 PTA;Zapatero Politorno Itu 2151- Tabaco 1 Pta;2;2002;1080000;1512000
4213;LICUADORA OSTER 1.5L CALYPSO;LICUADORA OSTER 1.5LTS 8 VELOC. JARRA DE VIDRIO BLSTMG-T15-051 COLOR CALYPSO;Licuadora Oster 1.5Lts 8 Veloc. Jarra De Vidrio Blstmg-T15-051 Color Calypso;1;1003;382000;535000
4215;JARRA   OSTER PURIFICADORA ;JARRA OSTER PURIFICADORA DE AGUA HASTA 375 LTS  WPPW001;Jarra Oster Purificadora De Agua Hasta 375 Lts  Wppw001;1;1011;349000;489000
11836;COCINA A GAS JAM COMBI TIT 4H;COCINA A GAS JAM MOD COMBI TITANIO GRIS 4H;Cocina A Gas Jam Mod Combi Titanio Gris 4H;15;15006;670000;938000
4239;METALCUBAS CHURRASQUERA A GAS ;METALCUBAS CHURRASQUERA A GAS COMPACTO CBG-450C;Metalcubas Churrasquera A Gas Compacto Cbg-450C;15;15007;866000;1213000
4263;ZAPATERO POLITORNO ITAJAI;ZAPATERO POLITORNO ITAJAI 2210 TABACO C/ ESPEJO;Zapatero Politorno Itajai 2210 Tabaco C/ Espejo;2;2002;465000;651000
4376;HORNO ELECT. OSTER 10 L;HORNO ELECT. OSTER 10 LTS TSSTTV10LTB-053 PLATEADO CRONOMETRO 30MIN 90/230 C;Horno Elect. Oster 10 Lts Tssttv10Ltb-053 Plateado Cronometro 30Min 90/230 c;15;15002;396000;555000
