Codigo Proveedor ;Nombre ;Descripcion larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
450553;Celular HUAWEI G3621L ;"Celular HUAWEI G3621L 1.8"" 900 1800 NEGRO";"MODELO : G3621L
PANTALLA: TFT de 1.8"" QQVGA
SIM CARD: Single SIM
BATERIA: 600 mAh
COMUNICACIoN: Micro USB 2.0 - Conector Mini Jack 3.5 mm
MEMORIA EXTERNA: Soporta tarjeta Micro SD de hasta 512GB
";7;7001;84045;118000
983129;Celular HUAWEI HONOR 8X DU 4 64P;"Celular HUAWEI HONOR 8X JSN-L23 DU 6.5""4+64P";"MODELO : Honor 8X JSN-L23
Color: Negro
MEMORIA INTERNA: 64GB
MEMORIA RAM: 4GB
PROCESADOR CPU: Hisilicon Kirin 710 Octa Core (Quad Core de 2.2GHz + Quad Core de 1.7GHz)
SISTEMA OPERATIVO: Android version 8.1 Oreo + EMUI 8.2.0
PANTALLA: LCD de 6.5"" Full HD, 2.5D con Tecnologia IPS (In-plane Switching) y proteccion Corning Gorilla Glass 3
CaMARA: Principal Dual de 20MP f/1.8 y 2MP con Flash LED + Camara Frontal de 16MP f/2.0
SIM CARD: Dual SIM
BATERIA: 3.750 mAh
ViDEO: Calidad maxima de captura: Full HD a 30 fps
MEMORIA EXTERNA: Soporta tarjeta Micro SD
SENSOR: Huella Dactilar - ACelularerometro - Proximidad - Sensor de Luz Ambiente - Giroscopio
";7;7001;1574376;2205000
994453;Celular HUAWEI MAT 20LI DU 4 64P;"Celular HUAWEI MAT 20LI SNE-LX3 DU 6.3""4+64P";"MODELO : Mate 20 lite SNE-LX3
Color: Negro
MEMORIA INTERNA: 64GB
MEMORIA RAM: 4GB
PROCESADOR CPU: Hisilicon Kirin 710 Octa Core (Quad Core de 2.2GHz + Quad Core de 1.7GHz)
SISTEMA OPERATIVO: Android version 8.1 Oreo + EMUI 8.2.0
PANTALLA: FullView 2.0 de 6.3"" Full HD+, con Tecnologia IPS (In-plane Switching)
CaMARA: Principal Dual de 20MP f/1.8 y 2MP con Enfoque Automatico + Camara Frontal Dual de 24MP f/2.0 y 2MP
SIM CARD: Dual SIM (Nano) - (La segunda tarjeta SIM y la tarjeta de memoria Micro SD no se pueden utilizar simultaneamente)
BATERIA: 3.750 mAh
ViDEO: Calidad maxima de captura: Full HD a 30 fps
MEMORIA EXTERNA: Soporta tarjeta Micro SD hasta 256gb
SENSOR: Huella Dactilar - ACelularerometro - Proximidad - Sensor de Luz Ambiente - Giroscopio
";7;7001;2062620;2888000
1145700;Celular HUAWEI P40 128G ;"Celular HUAWEI P40 ANA-LX4 DU 6.1""8+128G ";"MODELO : P40 ANA-LX4
MEMORIA INTERNA: 128GB
MEMORIA RAM: 8GB
PROCESADOR CPU: Huawei Kirin 990 Octa Core de 2.86GHz, 2.09GHz e 1.86GHz
SISTEMA OPERATIVO: Android 10 + EMUI 10.1
PANTALLA: OLED de 6.1"" Full HD+
CaMARA: Principal Triple: Wide Angle de 50MP f/1.9 con Estabilizador optico OIS, Ultra Wide Angle de 16MP /2.2 y Telephoto de 8MP f/2.4 con Zoom optico, Zoom Hibrido y Zoom Digital + Camara Frontal de 32MP f/2.0
SIM CARD: Dual SIM
BATERIA: 3.800 mAh
ViDEO: Calidad maxima de captura: 4K a 60 fps
MEMORIA EXTERNA: Soporta tarjeta SD NM de hasta 256GB
SENSOR: Huella Dactilar - Sensor de Gravedad - Sensor de Luz Ambiente - Proximidad - Giroscopio - Br?jula - Sensor Hall - Sensor de Temperatura de Color - Sensor Laser - Sensor de Gestos
";7;7001;4116612;5764000
1158212;Celular HUAWEI P40 LITE;"Celular HUAWEI P40 LI JNY-LX2 DU 6.4""6+128";"MODELO : P40 Lite JNY-LX2
MEMORIA INTERNA: 128GB
MEMORIA RAM: 6GB
PROCESADOR CPU: HUAWEI Kirin 810 Octa Core (Dual Core de 2.27GHz + Hexa Core de 1.7GHz)
SISTEMA OPERATIVO: Android 10 + EMUI 10.1
PANTALLA: LCD de 6.4"" Full HD, con Tecnologia IPS
CaMARA: Principal Cuadruple: Wide Angle de 48MP f/1.8, Ultra Wide Angle de 8MP f/2.4, Macro de 2MP y Lente Bokeh de 2MP + Camara Frontal de 16MP f/2.0
SIM CARD: Dual SIM (NANO)
BATERIA: 4.200 mAh
ViDEO: Calidad maxima de captura: 4K a 30 fps
MEMORIA EXTERNA: Soporta tarjeta SD NM de hasta 256GB
SENSOR: Huella Dactilar - Proximidad - Sensor de Luz Ambiente - Br?jula Digital - Sensor de Gravedad
";7;7001;1835334;2570000
1177596;Celular HUAWEI Y7A LX3 DU4 64GB;"Celular HUAWEI Y7A PPA-LX3 DU 6.67""4+64GB PR";"MODELO : Y7a PPA-LX3
Color: Negro
MEMORIA INTERNA: 64GB
MEMORIA RAM: 4GB
PROCESADOR CPU: HUAWEI Kirin 710A (14 nm Octa Core, (Quad Core de 2.0GHz + Quad Core de 1.7GHz)
SISTEMA OPERATIVO: Android 10 + EMUI 10
PANTALLA: LCD TFT de 6.67"" Full HD+, 20:9 con Tecnologia IPS
CaMARA: Principal Cuadruple: Wide de 48MP f/1.8, Ultra Wide de 8MP f/2.4 y FOV de 120?, Macro de 2MP f/2.4 y Depth Sensor de 2MP f/2.4 + Camara Frontal de 8MP f/2.0
SIM CARD: Dual SIM (Nano)
BATERIA: 5.000 mAh
ViDEO: Calidad maxima de captura: Full HD a 30 fps
MEMORIA EXTERNA: Soporta tarjeta Micro SD hasta 512gb
SENSOR: Huella Dactilar - Sensor de Luz Ambiente - Proximidad - Sensor de Gravedad
";7;7001;1515450;2122000
1135657;Celular HUAWEI Y7P 64GB;"Celular HUAWEI Y7P ART-L28 DU 6.39""4+64G ";"MODELO : Y7p ART-L28
MEMORIA INTERNA: 64GB
MEMORIA RAM: 4GB
PROCESADOR CPU: Kirin 710F Octa Core (Quad Core de 2.2GHz + Quad Core de 1.7GHz)
SISTEMA OPERATIVO: Android 9.0 Pie + EMUI 9.1
PANTALLA: TFT de 6.39"" HD+, con Tecnologia IPS
CaMARA: Principal Triple 48MP f/1.8, Ultra Wide Angle de 8MP f/2.4 y de 2MP f/2.4 + Camara Frontal de 8MP f/2.0
SIM CARD: Dual SIM (NANO)
BATERIA: 4.000 mAh
ViDEO: Calidad maxima de captura: 1080p a 30fps
MEMORIA EXTERNA: Soporta tarjeta Micro SD de hasta 512GB
SENSOR: Huella Dactilar - Sensor de Gravedad - Sensor de Luz Ambiente - Br?jula
";7;7001;1220820;1710000
1133516;Celular HUAWEI Y8P 128GB;"Celular HUAWEI Y8P AQM-LX1 DU 6.3""4+128";"MODELO : Y8P AQM-LX1
MEMORIA INTERNA: 128GB
MEMORIA RAM: 4GB
PROCESADOR CPU: HUAWEI Kirin 710F Octa Core (Quad Core Cortex-A73 de 2.2GHz + Quad Core Cortex-A53 de 1.7GHz)
SISTEMA OPERATIVO: Android 10 + EMUI 10.1
PANTALLA: Dewdrop OLED de 6.3? Full HD+
CaMARA: Principal Triple: 48MP f/1.8, Ultra Gran Angular de 8MP f/2.4 y Depth Sensor de 2MP f/2.4 + Camara Frontal de 16MP f/2.0
SIM CARD: Dual SIM (NANO)
BATERIA: 4.000 mAh
ViDEO: Calidad maxima de captura: 1080p a 30fps
MEMORIA EXTERNA: Soporta tarjeta Micro SD de hasta 256GB
SENSOR: Huella Dactilar en pantalla - Sensor de Luz Ambiente - Sensor de Gravedad - Br?jula
";7;7001;1532286;2146000
1133646;Celular HUAWEI Y8S 64GB;"Celular HUAWEI Y8S JKM-LX3 DU 6.5""4+64GB";"MODELO : Y8S JKM-LX3
MEMORIA INTERNA: 64GB
MEMORIA RAM: 4GB
PROCESADOR CPU: Hisilicon Kirin 710 Octa Core (Quad Core Cortex-A73 de 2.2GHz + Quad Core Cortex-A53 de 1.7GHz)
SISTEMA OPERATIVO: Android 9.0 version Pie + EMUI 9.1
PANTALLA: LCD de 6.5? Full HD+, con Tecnologia IPS
CaMARA: Principal Dual: 48MP f/1.8 y Depth Sensor de 2MP f/2.4 + Camara Frontal Dual: 8MP f/2.0 y Depth Sensor de 2MP f/2.4
SIM CARD: Dual SIM (NANO)
BATERIA: 4.000 mAh
ViDEO: Calidad maxima de captura: 1080p a 30fps
MEMORIA EXTERNA: Soporta tarjeta Micro SD de hasta 512GB
SENSOR: Huella Dactilar en pantalla - Sensor de Luz Ambiente - Sensor de Gravedad - Br?jula
";7;7001;1262910;1769000
1179651;Celular HUAWEI Y9A L22 DU 8+128G;"Celular HUAWEI Y9A FRL-L22 DU 6.63""8+128G PR";"MODELO : Y9a FRL-L22
Color: Negro
MEMORIA INTERNA: 128GB
MEMORIA RAM: 8GB
PROCESADOR CPU: MediaTek Helio G80 (12 nm) Octa Core, (Dual Core de 2.0GHz + Hexa Core de 1.8GHz)
SISTEMA OPERATIVO: Android 10 + EMUI 10
PANTALLA: LCD TFT de 6.63"" Full HD+, con Tecnologia IPS
CaMARA: Principal Cuadruple: Wide de 64MP f/1.8, Ultra Wide de 8MP f/2.4, Macro de 2MP f/2.4 y Depth Sensor de 2MP f/2.4 + Camara Frontal de 16MP f/2.2
BATERIA: 4.300 mAh
ViDEO: Calidad maxima de captura: Full HD a 30 fps
MEMORIA EXTERNA: Soporta tarjeta Micro SD hasta 256gb
SENSOR: Huella Dactilar lateral - Sensor de Luz Ambiente - Giroscopio - Sensor de Gravedad - Br?jula
";7;7001;2020530;2829000
