Codigo Proveedor ;Nombre ;Descripcion Larga;DETALLE;Familia;Clase ;Precio Lista;Costo 
920230;Impresora Intermec Pc43T ;Impresora Intermec Pc43T Usb Preto;"Modelo: Pc43T
Color: Negro
Pantalla: Lcd Vga De 2.36  Plegable
Tecnologia: Impresion A Laser
Caracteristicas: Imprime: Graficos Bmp, Gif, Pcx, Png - Codigos 1D Y 2D: Aztec, Code16K, Code49, Datamatrix, Dotcode, Ean-8, Ean-13, Ean, Ucc 128, Gridmatrix, Hibc 39, Hibc 128, Maxicode, Msi, Pdf417, Micro Pdf417, Planet, Plessey, Postnet, Qr-Code, Rss-14
Tipo De Papel Soportado: Rollo De Etiquetas";31;31005;4337000;3098000
992657;Impresora Epson Fx-890Ii ;Impresora Epson Fx-890Ii Usb Pre 2V Sg;"Modelo: Fx-890Ii Pb31A (Eu)
Color: Negro
Tecnologia: Matricial De 9 Agujas
Velocidad De Impresion: Borrador De Ultra Velocidad: 738 Cps (12 Cpi) - Borrador De Alta Velocidad: 612 Cps (10 Cpi) - Borrador: 463 Cps (10 Cpi) - Calidad De Letra: Cps (10 Cpi)
Caracteristicas: Soporta Impresion De Formularios De Hasta 7 Copias (1 Original Y 6 Copias) - Panel De Control Con Botones Para Configurar Las Funciones - Es Compatible Con Los Lenguajes De Impresion Esc/P, Ibm Ppds Y Microline
Tipo De Papel Soportado: Formulario Continuo - Sobres Nø 6 (16.5 X 9.1 Cm) Y Nø 10 (24.1 X 10.4 Cm) - Etiquetas (6.3 X 2.4 Cm) - Bobina De Papel (21.6 Cm)
Cartucho: Cinta De 7.5 Millones De Caracteres";31;31005;4135000;2954000
1111163;Impresora Hp 107W Laser ;Impresora Hp 107W Laser Wire Bran 220V;"Modelo: Laser 107W 4Zb78A
Color: Blanco
Funciones: Impresora
Conectividad Wireless: Wi-Fi 802.11B/G/N - Wi-Fi Direct
Tecnologia: Impresion A Laser
Caracteristicas: Impresion Doble Cara Manual - Impresion Movil: Hp Smart, Apple Airprint, Google Cloud Print, Certificada Para Mopria Y Wi-Fi Direct. Capacidad De La Bandeja De Entrada De Hasta 150 Hojas, Bandeja De Salida Para Hasta 100 Hojas
Tipo De Papel Soportado: A4, A5, A5 (Left), B5 (Jis), Papel Y Sobres (Dl/C5) Etiqueta, Papel Ligero Y Sobre
Cartucho: 105A Negro";31;31005;1165000;832000
1155402;Impresora Hp Mfp Laser Wire;Impresora Hp Mfp 1200W Laser Wire 220V;"Modelo: Neverstop Laser Mfp 1200W (4Ry26A)
Color: Blanco/Gris
Funciones: Impresora - Scanner - Fotocopiadora
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Wi-Fi Direct
Tecnologia: Impresion A Laser
Caracteristicas: Impresion Movil: Hp Smart, Apple Airprint, Google Cloud Print, Certificada Para Mopria Y Wi-Fi Direct. Integra Tanque Toner Recargable, Con Indicador De Nivel - Capacidad De La Bandeja De Entrada De Hasta 150 Hojas, Bandeja De Salida Para Hasta 100 Hojas. Visor Lcd
Tipo De Papel Soportado: Papel Normal, Papel De Gramaje Alto, Papel Bond, Etiqueta, Papel Ligero Y Sobre
Cartucho: 103A Negro (Cartucho Incluido)";31;31005;2971000;2122000
1155419;Impresora Hp 1000A Laser ;Impresora Hp 1000A Laser Bran 220V Sg;"Modelo: Neverstop Laser 1000A
Color: Blanco/Gris
Funciones: Impresora
Tecnologia: Impresion A Laser
Caracteristicas: Integra Tanque De Toner Recargable, Con Indicador Del Nivel - Capacidad De La Bandeja De Entrada De Hasta 100 Hojas, Bandeja De Salida Para Hasta 150 Hojas
Tipo De Papel Soportado: Papel Normal, Papel De Gramaje Alto, Papel Bond, Etiqueta, Papel Ligero Y Sobre
Cartucho: Toner Hp 103A Preinstalado";31;31005;2365000;1689000
1155433;Impresora Hp Pro Mfp M428;Impresora Hp Pro Mfp M428Fdw Wirel 220V;"Modelo: Laserjet Pro Mfp M428Fdw
Color: Blanco/Gris
Funciones: Impresora - Scanner - Fotocopiadora - Fax
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Wi-Fi Direct
Tecnologia: Impresion A Laser
Caracteristicas: Impresion Movil: Hp Smart, Apple Airprint, Google Cloud Print, Certificada Para Mopria Y Wi-Fi Direct. Fax Envio Y Recepcion - Velocidad De Transmision: 33.6 Kbps Por Pagina - Memoria Para Hasta 400 Paginas - Hasta 120 Numeros Para Marcado Rapido. Capacidades De Las Bandejas De Entrada: 100, 250 Y 550 Hojas, Bandeja De Salida Para Hasta 150 Hojas. Visor Touch Screen De 2.7 
Tipo De Papel Soportado: A4, A5, A5 (Left), B5 (Jis), Papel E Sobres (Dl/C5)
Cartucho: 58A Negro (Cartucho Incluido)";31;31005;4575000;3268000
1030525;Impressora Epson L3150 3Em1 ;Impressora Epson L3150 3Em1 Wire Pre 2V;"Modelo: Ecotank L3150
Color: Negro
Funciones: Impresora - Scanner - Fotocopiadora
Conectividad Wireless: Wi-Fi 802.11B/G/N - Wi-Fi Direct
Tecnologia: Impresion Chorro De Tinta Micropiezo De 4 Colores (Cmyk)
Caracteristicas: Impresion Movil: Epson Iprint Para Ios Y Android, Epson Email Print, Remote Print Driver Y Google Cloud Print. Capacidad De La Bandeja De Entrada De Hasta 100 Hojas, Bandeja De Salida Para Hasta 30 Hojas
Tipo De Papel Soportado: Bright White Paper, Ultra Premium Photo Paper, Glossypremium Photo Paper Glossy, Premium Photo Paper Semi-Gloss, Photo Paper Glossy, Premium Presentation, Paper Matte Y Presentation Paper Matte
";31;31005;3387000;2419000
1048353;Impressora Hp Mfp 137Fnw ;Impressora Hp Mfp 137Fnw Laser 4Em1 110V;"Modelo: Laser Mfp 137Fnw (4Zb84A)
Color: Blanco/Gris
Funciones: Impresora - Scanner - Fotocopiadora - Fax
Tecnologia: Impresion A Laser
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Wi-Fi Direct
Caracteristicas: Impresion Movil: Hp Smart, Apple Airprint, Google Cloud Print, Certificada Para Mopria Y Wi-Fi Direct. Fax Envio Y Recepcion - Velocidad De Transmision: 33.6 Kbps Por Pagina - Memoria Para Hasta 400 Paginas - Hasta 200 Numeros Para Marcado Rapido. Capacidad De La Bandeja De Entrada De Hasta 150 Hojas, Bandeja De Salida Para Hasta 100 Hojas. Visor Lcd De 2 Lineas
Tipo De Papel Soportado: A4, A5, A5 (Left), B5 (Jis), Papel E Sobres (Dl/C5)
Cartucho: 105A Negro";31;31005;2484000;1774000
1156171;Notebook Evoo Ult Evc156 I7 ;Notebook Evoo Ult Evc156 I7 6660U 8/256/15.6 P;"Modelo: Ultra Thin Evc156-1Bk
Color: Negro
Pantalla: Lcd De 15.6  Full Hd
Procesador Cpu: Intel Core I7-6660U De 2.4Ghz, Puede Llegar Hasta 3.4Ghz En Modo Boost
Graficos: Intel Iris Graphics 540
Sistema Operativo: Windows 10 Home
Memoria Ram: 8Gb
Ssd: 256Gb
Conectividad Wireless: Wi-Fi 802.11Ac - Bluetooth
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles
";31;31004;4541000;3243000
1156218;Notebook Lenovo 81Jw S330 ;Notebook Lenovo 81Jw S330 Chrome 4Gb/32Gb/14 P;"Modelo: S330 81Jw
Color: Negro
Pantalla: Led De 14  Hd, Tn Con Antirreflejo
Procesador Cpu: Mediatek Mtl8173C De 2.1Ghz
Graficos: Mediatek
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Bluetooth 4.0
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;2779000;1985000
1158328;Notebook Lenovo 81X2 1 4300U ;Notebook Lenovo 81X2 14Are05 4300U 4/128G/14 C;"Modelo: Ideapad Flex 5 14Are05 81X2000Hus
Color: Graphite Grey
Pantalla: Touch Screen De 14  Full Hd, Con Tecnologia Ips - Plegable 360ø Para Ser Utilizado Como Si Fuese Una Tablet
Procesador Cpu: Amd Ryzen 3 4300U De 2.7Ghz
Graficos: Radeon Graphics
Sistema Operativo: Windows 10 Home
Memoria Ram: 4Gb
Ssd: 128Gb
Conectividad Wireless: Wi-Fi 802.11 A/B/G/N/Ac/Ax - Bluetooth
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;5098000;3641000
1163841;Notebook Hp 14B- N5030 ;Notebook Hp 14B-Ca0061Wm N5030 Chrom 4/128/14B;"Modelo: X360 14B-Ca0061Wm
Color: Blanco/Gris
Pantalla: Led Touch Screen De 14.0  Hd - Plegable 360ø Para Ser Usado Como Si Fuese Una Tablet
Procesador Cpu: Intel Pentium Silver N5030 Quad Core De 1.1Ghz, Puede Llegar Hasta 3.1Ghz En Modo Boost
Graficos: Intel Uhd Graphics 600
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb Lpddr4 Sdram
Conectividad Wireless: Wi-Fi 802.11 A/B/G/N/Ac (2X2) - Bluetooth 5.0
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;4933000;3523000
1163858;Notebook Hp 14-Db0060Nr ;Notebook Hp 14-Db0060Nr 9120C Chrome 4G/32/14C;"Modelo: 14-Db0060Nr 5Uy60Ua
Color: Gris
Pantalla: Led Touch Screen De 14.0  Hd
Procesador Cpu: Apu Amd A4-9120C Dual Core De 1.6Ghz, Puede Llegar Hasta 2.4Ghz En Modo Boost
Graficos: Amd Radeon R4 Graphics
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb Ddr4 Sdram
Conectividad Wireless: Wi-Fi Qualcomm Atheros 802.11 A/Ac/B/G 2X2 - Bluetooth 4.2
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;3506000;2504000
1163865;Notebook Asus C423Na-Wb04 ;Notebook Asus C423Na-Wb04 N3350 Chrom 4/64/14S;"Modelo: C423Na-Wb04
Color: Plata
Pantalla:Lcd De 14.0  Hd, Retroiluminada Por Led Y Con Antirreflejo
Procesador Cpu: Intel Celeron N3350 De 1.1Ghz, Puede Llegar Hasta 2.4Ghz En Modo Boost
Graficos: Intel Hd Graphics 500
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb Lpddr4
Conectividad Wireless: Wi-Fi 802.11Ac - Bluetooth
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles
";31;31004;3684000;2631000
1163902;Notebook Lenovo 81Wf  I3 ;Notebook Lenovo 81Wf 1005G1 I3 8Gb/1Tb/17.3 Ci;"Modelo: Ideapad 3 17Iil05 81Wf000Rus
Color: Platinum Grey
Pantalla: Led De 17.3  Full Hd, Tn Con Antirreflejo
Procesador Cpu: Intel Core 10Th Gen I3-1005G1 De 1.2Ghz
Graficos: Intel Uhd Graphics
Sistema Operativo: Windows 10 Home
Memoria Ram: 8Gb
Disco Duro: 1Tb
Conectividad Wireless: Wi-Fi 802.11 A/B/G/N/Ac - Bluetooth
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;6061000;4329000
1164220;Notebook Asus F512Da-Wb31 ;Notebook Asus F512Da-Wb31 R3 3250U 4G/128/15 C;"Modelo: C423Na-Wb04
Color: Plata
Pantalla:Lcd De 14.0  Hd, Retroiluminada Por Led Y Con Antirreflejo
Procesador Cpu: Intel Celeron N3350 De 1.1Ghz, Puede Llegar Hasta 2.4Ghz En Modo Boost
Graficos: Intel Hd Graphics 500
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb Lpddr4
Conectividad Wireless: Wi-Fi 802.11Ac - Bluetooth
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles
";31;31004;5704000;4074000
1165722;Notebook Hp 14A- N4020 ;Notebook Hp 14A-Ca0090Wm N4020 Chrome 4/64/14A;"Modelo: X360 14B-Ca0061Wm 192J7Ua
Color: Azul
Pantalla: Led Touch Screen De 14.0  Hd - Plegable 360ø Para Ser Usado Como Si Fuese Una Tablet
Procesador Cpu: Intel Celeron N4020 Dual Core De 1.1Ghz, Puede Llegar Hasta 2.8Ghz En Modo Boost
Graficos: Intel Uhd Graphics 600
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb Lpddr4 Sdram
Conectividad Wireless: Wi-Fi 802.11 A/B/G/N/Ac (2X2) - Bluetooth 5.0
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;4219000;3013000
1167160;Impressora Hp 200 Officejet ;Impressora Hp 200 Officejet Wire Pre 2V;"Modelo: Officejet 200 Cz993A
Color: Negro
Funciones: Impresora
Tecnologia: Impresion Inyeccion Termica De Tinta Hp De 3 Colores (Cmy)
Conectividad Wireless: Wi-Fi - Wi-Fi Direct
Caracteristicas: Impresion Doble Cara Manual - Impresion Movil: Hp Eprint, Apple Airprint, Google Cloud Print Y Wi-Fi Direct. Capacidad De La Bandeja De Entrada De Hasta 50 Hojas - Puede Ser Utilizado Con La Bateria Recargable O En La Red Electrica
Tipo De Papel Soportado: A4, A5, A6, B5 (Iso), B5 (Jis), Sobre (Dl/C5), Fotografico (10 X 15 Cm, L, 2L) Y Tarjeta Postal Japonesa (Ofuku Hagaki)
Cartucho: Hp 62Xl Colorido Y Negro (Cartuchos Incluidos)";31;31005;3030000;2165000
1168464;Notebook Acer Cb715-1W35Zk ;Notebook Acer Cb715-1W35Zk Chrome 4/128/15.6C;"Modelo: 715 Cb715-1W-35Zk
Color: Steel Gray
Pantalla: Lcd De 15.6  Full Hd, Con Tecnologias Ips Y Comfyview
Procesador Cpu: Intel Core 8Th Gen I3-8130U Dual Core De 2.20Ghz, Puede Llegar Hasta 3.40Ghz En Modo Boost
Graficos: Intel Uhd Graphics 620
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb Ddr4
Conectividad Wireless: Wi-Fi 802.11 A/B/G/N/Ac - Bluetooth 4.2
Caracteristicas: Touchpad Con Proteccion Corning Gorilla Glass
";31;31004;4872000;3480000
1169751;Impressora Epson M3170 4Em1 Wire 2V Sg;Impressora Epson M3170 4Em1 Wire 2V Sg;"Modelo: Ecotank M3170 C662B
Color: Blanco/Negro
Funciones: Impresora - Scanner - Fotocopiadora - Fax
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Wi-Fi Direct
Tecnologia: Impresion Inyeccion De Tinta Monocromatica Precisioncore
Caracteristicas: Impresion Doble Cara Automatica - Impresion Movil: Epson Iprint Para Ios Y Android, Apple Airprint, Google Cloud Print, Certificada Para Mopria Y Wi-Fi Direct. Fax Envio Y Recepcion - Velocidad De Transmision: 33.6 Kbps Por Pagina - Memoria Para Hasta 180 Paginas - Hasta 100 Numeros Para Marcado Rapido. Capacidad De La Bandeja De Entrada De Hasta 250 Hojas, Bandeja De Salida Para Hasta 100 Hojas. Visor Touch Screen De 2.4 , Colorido
Tipo De Papel Soportado: A4, A5, A6, Normal, Premium Presentation Paper Matte Y Premium Presentation Paper Matte Double-Sided
";31;31005;3981000;2844000
1169768;Impressora Epson L656 4Em1;Impressora Epson L656 4Em1 Wire 2V Sg;"Modelo: Ecotank L656
Color: Negro
Funciones: Impresora - Scanner - Fotocopiadora - Fax
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Wi-Fi Direct
Tecnologia: Impresion Chorro De Tinta Micropiezo De 4 Colores (Cmyk)
Caracteristicas: Impresion Doble Cara Automatica - Impresion Movil: Epson Iprint Para Ios Y Android, Apple Airprint, Google Cloud Print Y Certificada Para Wi-Fi Direct. Fax Envio Y Recepcion - Velocidad De Transmision: 33.6 Kbps Por Pagina - Memoria Para Hasta 100 Paginas - Hasta 60 Numeros Para Marcado Rapido. Capacidad De La Bandeja De Entrada De Hasta 150 Hojas, Bandeja De Salida Para Hasta 30 Hojas
Tipo De Papel Soportado: A4, A5, A6, B5, Sobre (Dl/C5), Papel Normal Y Papel Fotografico
";31;31005;5288000;3777000
1170900;Notebook Gateway Gwtn156 5 ;Notebook Gateway Gwtn156 5 3450U 8G/256/15.6 P;"Modelo: Gwtn156-4Bk
Color: Negro
Pantalla: Lcd De 15.6  Full Hd, Con Tecnologia Ips
Procesador Cpu: Amd Ryzen 5 3450U De 2.1Ghz, Puede Llegar Hasta 3.5Ghz En Modo Boost
Graficos: Radeon Vega 8
Sistema Operativo: Windows 10 Home
Memoria Ram: 8Gb
Ssd: 256Gb
Conectividad Wireless: Wi-Fi 802.11Ac - Bluetooth
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. Sensor Huella Dactilar
";31;31004;5110000;3650000
1172201;Impressora Hp Mfp 1200W ;Impressora Hp Mfp 1200W Laser Wire 110V;"Modelo: Neverstop Laser Mfp 1200W (4Ry26A)
Color: Blanco/Gris
Funciones: Impresora - Scanner - Fotocopiadora
Tecnologia: Impresion A Laser
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Wi-Fi Direct
Caracteristicas: Impresion Movil: Hp Smart, Apple Airprint, Google Cloud Print, Certificada Para Mopria Y Wi-Fi Direct. Integra Tanque Toner Recargable, Con Indicador De Nivel - Capacidad De La Bandeja De Entrada De Hasta 150 Hojas, Bandeja De Salida Para Hasta 100 Hojas. Visor Lcd. 
Tipo De Papel Soportado: Papel Normal, Papel De Gramaje Alto, Papel Bond, Etiqueta, Papel Ligero Y Sobre
Cartucho: 103A Negro (Cartucho Incluido)";31;31005;3089000;2206000
1172218;Impressora Hp 1000W Laser ;Impressora Hp 1000W Laser Wir Bra 110 Sg;"Modelo: Neverstop Laser Mfp 1000W (4Ry23A)
Color: Blanco/Gris
Funciones: Impresora
Tecnologia: Impresion A Laser
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Wi-Fi Direct
Caracteristicas: Impresion Doble Cara Manual - Impresion Movil: Hp Smart App, Apple Airprint, Google Cloud Print, Certificada Para Mopria Y Wi-Fi Direct. Capacidad De La Bandeja De Entrada Es De Hasta 150 Hojas, Bandeja De Salida Para Hasta 100 Hojas. 
Tipo De Papel Soportado: Papel Normal, Papel De Gramaje Alto, Papel Bond, Etiqueta, Papel Ligero Y Sobre
Cartucho: 103A Negro (Cartucho Incluido)";31;31005;2603000;1859000
1174830;Notebook Hyundai 4Z2Esg N3350 ;Notebook Hyundai 4Z2Esg N3350 4/64G+240Ssd/14C;"Modelo: Hy4Z2Esg N3350
Color: Negro
Pantalla: Lcd De 14.1 
Procesador Cpu: Intel Celeron N3350 De 1.10Ghz
Graficos:Intel Hd Graphics 500
Sistema Operativo: Chrome Os
Memoria Ram: 64
Ssd: 240
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Bluetooth 4.0
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;3443000;2459000
1174908;Notebook Hyundai 4Z2Ebk N3350 ;Notebook Hyundai 4Z2Ebk N3350 4Gb/64Gb/14.1 Pr;"Modelo: Hybook Htlb14Inc4Z2Ebk
Color: Negro
Pantalla: Lcd De 14.1 
Procesador Cpu: Intel Celeron N3350 De 1.10Ghz
Graficos:Intel Hd Graphics 500
Sistema Operativo: Chrome Os
Memoria Ram: 4Gb Lpddr4
Conectividad Wireless: Wi-Fi 802.11 B/G/N - Bluetooth 4.0
Caracteristicas: Webcam. Microfono Integrado. Teclado Ingles. 
";31;31004;2960000;2114000
