Codigo Proveedor ;Nombre ;Descripcion Larga;;Detalle;Familia;Clase ;Costo ;Precio Lista
751629;AURICULAR APPLE LIGHTNING;AURICULAR APPLE  MMTN2AM LIGHTNING BRANCO;25;Modelo : EarPods MMTN2AM/A A1748  . Compatibilidad: Compatible con dispositivos Apple con entrada Lightning e iOS 10 o version superior de este sistema operativo . Caracteristicas: Con Microfono incorporado;7;7002;165000;231000
1007237;AURICULAR APPLE  AIRPODS 2;AURICULAR APPLE  MRXJ2AM AIRPODS 2 WIRE CASE B;26;Modelo : AirPods 2 A2032 - A2031 - A1938 MRXJ2AM/A . Conectividad: Bluetooth  . Compatibilidad: Compatible con: iPhone, iPad, iPod Touch con iOS 10 o superior, Apple Watch con watchOS 3, Mac con MacOS 10.12 o superior . Funcion: Acceso rapido a la asistente Siri . Caracteristicas: El chip H1 mejora la conexion y la usabilidad, tanto para escuchar reproducciones como para atender o realizar llamadas telefonicas - Optimiza la activacion de los sensores que identifican cuando los auriculares son removidos del oido y los apaga;7;7002;1535000;2149000
1166835;IMAC APPLE MJVA3;IMAC APPLE MJVA3 (21)M1 8C/7G 8/256/24RS;16;"Modelo : MJVA3LL/A A2439 2021 . Color: Rosa . Pantalla: Retina Widescreen de 24"" . Resolucion de Pantalla: Retina 4.5K (4480 x 2520p), con Tecnolog¡a True Tone . Procesador CPU: Chip M1 Octa Core . Graficos: Hepta Core . Sistema Operativo: macOs . Memoria: 8GB . SSD: 256GB . Conectividad: Wi-Fi 6 802.11ax - Bluetooth 5.0 . Camara: FaceTime HD de 1080p con procesador de imagen M1 . Microfono: 3 en total, con calidad de estudio, alta relaci¢n se¤al-ruido y filtrado espacial direccional . Altoparlante: Integrados, 6 en total - Compatible con audio Dolby Atmos . Caracteristicas: Puede ser conectado a un monitor externo con resoluci¢n de hasta 6K a 60Hz - Soporta comandos de voz a trav‚s de la asistente Siri";31;31003;13600000;19040000
974745;LAPIZ APPLE  2ND GERATION;LAPIZ APPLE 2nd Geration A2051 Bluetooth con Conector Magn‚tico - Blanca;25;Modelo : Apple Pencil 2nd Generation A2051 MU8F2AM/A . Color: Blanco . Funciones: Dibujar, colorir, tomar notas, escribir correos electr¢nicos, entre otras actividades . Conectividad: Conector magnetico, Bluetooth . Compatibilidad: iPads con conector magn‚tico para Apple Pencil . ;23;23003;1376000;1926400
1138092;"CELULAR IPHONE 12 6.1"" 4+64GB";"CELULAR IPHONE 12 6.1"" 4+64GB A2403 ";29;"Modelo : IPhone 12 A2403 . Memoria Interna: 64G . Memoria Ram: 4G . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: IOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Dual 12MP, Ultra Wide f/2.4, lente de 5 elementos y campo de visi¢n de 120ø, y Wide f/1.6 con lente de 7 elementos y estabilizaci¢n ¢ptica de imagen + C mara Frontal TrueDepth de 12MP f/2.2 . Frecuencia: 5G . Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24.30 y 60 fps, HDR con Dolby Vision a hasta 30 fps, Slow Motion 1080p a 120 y 240 fps - Permite capturar fotos de 8MP mientras graba video en 4K . Sensor: Face ID - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;7546000;10564400
1016826;IPAD MINI 5 64GB;"IPAD MINI 5 MUQX2 WIFI 64GB 7.9"" SILVER";16;"Modelo : IPad Mini 5 A2133 MUQX2LL/A . Memoria Interna: 64G . Procesador Cpu: Chip A12 Bionic, Neural Engine,  con Coprocesador M12 . Sistema Operativo: IPadOS  . Pantalla: Retina de 7.9"" Multi Touch con Tecnolog¡a IPS y revestimiento oleof¢bico . Camara: Principal de 8MP f/2.4 Lente de 5 elementos, filtro de Infrarrojos Hibrido, Iluminaci¢n posterior, HDR, Temporizador + FaceTime HD de 7MP f/2.2 Retina Flash, HDR y Temporizador . Caracteristica: Compatible con Apple Pencil  . Conectividad: Wi-Fi 802.11a/b/g/n/ac, doble banda 2.4GHz y 2.5 GHz, y HT80 con MIMO - Bluetooth 5.0 . Video: Calidad maxima de captura: Full HD (1080p) . Sensor: Touch ID - Giroscopio de tres ejes - Aceler¢metro - Bar¢metro - Sensor de Luz Ambiente . Formato de Video: Reproduce: H.264, AAC-LC, MPEG 4, JPEG (M JPEG) y AVI";23;23006;3507000;4909800
1139181;NOTEBOOK APPLE PRO MYD92LL;"NOTEBOOK APPLE PRO MYD92LL(20)M1 8C 8/512/13""C";26;Modelo : MacBook Pro A2338 MYD92LL/A (2020) . Pantalla: Retina LED de 13.3?, con Tecnolog¡a IPS y Tecnolog¡a True Tone . Procesador : Chip Apple M1 Octa Core . Sistema Operativo: MacOS  . Memoria Ram: 8GB  . SSD: 512GB . Conectividad: Wi-Fi 802.11 ac - Bluetooth 4.0 . Camara: FaceTime HD . Sensor: Touch ID - Touch Bar . Microfonos: Sistema de tres micr¢fonos con calidad de estudio y Tecnolog¡a Beamforming Direccional . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados - Compatible con audio Dolby Atmos;31;31004;12918000;18085200
956376;RELOGIO APPLE S3 42MM;RELOGIO APPLE S3 42MM GPS MTF22 SI/BR;21;Modelo : Series 3 MTF22LL/A A1859 . Tama¤o: 42mm . Visor: Retina OLED con Force Touch y 1.000 Nits de brillo . Procesador : Dual Core S3 . Sistema Operativo: WatchOS 4 . Memoria Interna: 8GB  . Compatibilidad: iPhone 6S o modelo superior, con iOS 13 o versiones posteriores . Caracteristica: Posee Chip Wireless W3 - Con asistente virtual Siri - Tiene vidrio Ion-X reforzado en el visor . Conectividad: Wi-Fi 802.11b/g/n de 2.4 GHz - Bluetooth 4.2 . Sensor: Sensor Card¡aco àptico - Alt¡metro - Aceler¢metro - Giroscopio - Sensor de Luz Ambiente . Resistente al agua: 5 ATM . Duracion de Bateria: Aproximadamente 18 horas, puede variar seg£n las configuraciones de uso . ;23;23005;2002000;2802800
1133073;RELOGIO APPLE S6;RELOGIO APPLE S6 40MM GPS M00A3 VERM;16;Modelo : Series 6 M00A3LL/A A2291 . Tama¤o: 40mm . Visor: Always-On Retina LTPO OLED, con 1.000 Nits de brillo . Procesador : Dual Core S6 SiP, 64 bits . Sistema Operativo: watchOS 7 . Memoria Ram: 32GB  . Compatibilidad: iPhone 6S o modelo superior, con iOS 14 o versiones posteriores. . Caracteristica: Posee Chip Wireless W3 - Con asistente virtual Siri - Tiene vidrio reforzado en el visor y cer mica y cristal de zafira en la parte posterior . Conectividad: Wi-Fi 802.11 b/g/n, doble banda 2.4GHz y 5GHz - Bluetooth 5.0 . Sensor: Sensor Card¡aco àptico 2¦ Generaci¢n y Sensor Card¡aco El‚ctrico - Sensor de Ox¡geno en la sangre - Alt¡metro - Aceler¢metro - Sensor de Luz Ambiente . Resistente al agua: 5 ATM . Duracion de Bateria: Aproximadamente 18 horas, puede variar seg£n las configuraciones de uso . ;23;23005;3151000;4411400
1007220;AURICULAR APPLE AIRPODS 2ÿ;Auriculares Inal mbricos Apple AirPods 2 MV7N2AM / A con Chip H1 - Blanco;26;Modelo : AirPods 2 A2032 - A2031 - A1602 MV7N2AM/A . Color: Blanco . Compatibilidad: iPhone, iPad, iPod Touch con iOS 13 o version superior, Apple Watch con watchOS 6, Mac con MacOS 10.15 o version superior . Caracteristicas: El chip H1 mejora la conexion y la usabilidad, tanto para escuchar reproducciones como para atender o realizar llamadas telefonicas - Optimiza la activacion de los sensores que identifican cuando los auriculares son removidos del oido y los apaga . Bateria: Recargable, compatible con recarga r pida . ;7;7002;1218500;1705900
