Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo ;Precio Lista
1007220;Auriculares Inalambricos Apple AirPods 2ÿ;Auriculares Inalambricos Apple AirPods 2 MV7N2AM / A con Chip H1 - Blanco;"Modelo : AirPods 2 A2032 - A2031 - A1602 MV7N2AM A
Color: Blanco
Compatibilidad: iPhone, iPad, iPod Touch con iOS 13 o version superior, Apple Watch con watchOS 6, Mac con MacOS 10.15 o version superior
Caracteristicas: El chip H1 mejora la conexion y la usabilidad, tanto para escuchar reproducciones como para atender o realizar llamadas telefonicas - Optimiza la activacion de los sensores que identifican cuando los auriculares son removidos del oido y los apaga
Bateria: Recargable, compatible con recarga rapida
";7;7002;1167000;1633000
1061185;Auriculares Inalambricos Apple AirPods Pro;Auriculares Inalambricos Apple AirPods Pro MWP22AM / A con Chip H1 - Blanco;"Modelo : AirPods Pro MWP22AM A (A2083, A2084, A2190)
Color: Blanco
Compatibilidad: Compatible con dispositivos iOS e iPadOS, Apple Watch y Mac con la version mas reciente del software
Caracteristicas: Con Chip H1 - Acceso rapido a la asistente Siri - Soporta cargadores con estandar Qi
Conectividad: Cable USB integrado
Bateria: Recargable, compatible con recarga rapida
";7;7002;1893000;2650000
1089455;Lector de DVD Apple;Lector de DVD Apple SuperDrive A1379 MD564BE / A - Plata / Negro;"Modelo : SuperDrive A1379 MD564BE A
Color: Plata Negro
Funciones: Reproduccion y grabacion
Reproduce: CD - DVD
Conector: Via USB";23;23003;628000;880000
1144727;SPEAKER APPLE HOMEPOD ;SPEAKER APPLE HOMEPOD MIN MY5G2LL/A BT C;"Modelo : HomePod mini MY5G2LL A A2374
Color: Space Gray
Conectividad: Wi-Fi 802.11 - Bluetooth 5.0 - Chip UltraWide para proximidad
Compatibilidad: iPhone SE, 6S, iPod Touch 7th Gen con iOS mas reciente, iPad 5th Gen, iPad Air 2, iPad Mini, o versiones superiores de estos modelos
Caracteristicas: Con controle Touch para reproducciones, ajuste de volumen y para activar a asistente virtual - Soporta servicios de Streaming Apple Music, Apple Podcasts y comandos de voz a traves de la asistente virtual Siri - Posee guia de onda acustica en 360ø";21;21002;985000;1379000
1166958;APPLE TV MXGY2 4K 32GB;APPLE TV MXGY2 4K 32GB;;23;23003;2054000;2876000
960823;"CELULAR IPHONE XR 6.1""3+256G";"CELULAR IPHONE 11 6.1"" 4+64GB A2111 ";"Modelo : iPhone XR A1984 MT0C2LL A
Memoria Interna: 256GB
Memoria Ram: 3GB
Procesador Cpu: Chip A12 Bionic, Neural Engine
Sistema Operativo: IOS
Pantalla: Liquid Retina de 6.1"" HD, con True Tone, Tecnologia IPS y revestimiento oleofobico
Camara: Principal Wide Angle de 12MP f 1.8 con Lente de 6 elementos con revestimiento de cristal de zafiro, HDR, Filtro Hibrido IR, Modo Burst, Estabilizacion Automatica y Enfoque Automatico + Camara Frontal TrueDepth de 7MP f 2.2 con funciones Animoji y Memoji, HDR, Modo Burst y Estabilizacion Automatica
Frecuencia: 4G
Conectividad: Wi-Fi 802.11ac con MIMO 2x2 - Bluetooth 5.0 - NFC con modo de lectura
Video: Calidad maxima de captura: 4K a 24, 25, 30 o 60 fps, Full HD 1080p a 25, 30 o 60 fps, Time Lapse, Slow Motion 1080p a 120 o 240 fps - Formatos HEVC y H.264
Sensor: Face ID - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;5219000;7307000
1044263;"CELULAR IPHONE 11 6.1"" 4+64GB";"CELULAR IPHONE 11 6.1"" 4+64GB A2111 ";"Modelo : IPhone 11 A2111
Memoria Interna: 64G
Memoria Ram: 4G
Procesador Cpu: Neural Engine 3¦ Generacion, Chip A13 Bionic
Sistema Operativo: IOS
Pantalla: Liquid Retina de 6.1"" HD, Multi Touch con Tecnologia IPS y True Tone
Camara: Principal Dual de 12MP: Ultra Wide de f 2.4 con lente de 5 elementos y FOV 120ø, y Wide de f 1.8 y lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 4G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 y 60 fps, Full HD 1080p a 30 y 60 fps, HD 720p a 30 fps - Time-Lapse - Slow Motion 1080p a 120 y 240 fps - Video de QuickTake con seguimiento de sujeto - Estabilizacion cinematografica (1080p y 720p)
Sensor: Face ID (reconocimiento facial a traves de la camara TrueDepth) - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;5508000;7712000
1044331;"CELULAR IPHONE 11 6.1"" 4+128GB ";"CELULAR IPHONE 11 6.1"" 4+128GB A2111 ";"Modelo : IPhone 11 A2111
Memoria Interna: 128G
Memoria Ram: 4G
Procesador Cpu: Neural Engine 3¦ Generacion, Chip A13 Bionic
Sistema Operativo: IOS
Pantalla: Liquid Retina de 6.1"" HD, Multi Touch con Tecnologia IPS y True Tone
Camara: Principal Dual de 12MP: Ultra Wide de f 2.4 con lente de 5 elementos y FOV 120ø, y Wide de f 1.8 y lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 4G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 y 60 fps, Full HD 1080p a 30 y 60 fps, HD 720p a 30 fps - Time-Lapse - Slow Motion 1080p a 120 y 240 fps - Video de QuickTake con seguimiento de sujeto - Estabilizacion cinematografica (1080p y 720p)
Sensor: Face ID (reconocimiento facial a traves de la camara TrueDepth) - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;6025000;8435000
1089387;"CEL IPHONE 11 PR MX 6.5""4+64";"CEL IPHONE 11 PR MX 6.5""4+64 2218";"Modelo :iPhone 11 Pro Max A2218
Memoria Interna: 64G
Procesador Cpu: Neural Engine 3¦ Generacion, Chip A13 Bionic
Sistema Operativo: IOS
Pantalla: Super Retina XDR de 5.8"", OLED Multi Touch con Tecnologia True Tone
Camara: Principal Triple de 12MP: Ultra Angular f 2.4, lente de 5 elementos y campo de vision de 120§, Gran Angular f 1.8 y Teleobjetivo f 2.0 con lente de 6 elementos y ambas con estabilizacion optica de imagen + Frontal TrueDepth de 12MP f 2.2
Frecuencia: 4G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Graba en: 4K a 24 30 60 fps, Full HD 1080p a 30 60 fps, HD 720p a 30 fps - Time-Lapse - Camara lenta 1080p a 120 240 fps - Video QuickTake con seguimiento de sujeto - Estabilizacion inematica (1080p y 720p) - Grabacion en formato estereo y HEVC y H.264
Sensor: Face ID (reconocimiento facial por medio de la camara TrueDepth) - Barometro - Giroscopio - Acelerometro - Sensor de Proximidad - Luz Ambiente
Formato de Video: Reproduce: AAC-LC, HE-AAC, HE-AAC (v2), AAC Protegido, MP3, PCM Linear, Apple Lossless, FLAC, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3) y Audible (formatos 2, 3, 4, Audible Enhanced Audio, AAX y AAX+)";7;7001;7892000;11049000
1062441;"CELULAR IPHONE 11 PRO 5.8""4+256 ";"CELULAR IPHONE 11 PRO 5.8""4+256 A2215 C/ACVD";"Modelo : IPhone 11 Pro A2215
Memoria Interna: 256G
Memoria Ram: 4G
Procesador Cpu: Neural Engine 3¦ Generacion, Chip A13 Bionic
Sistema Operativo: IOS
Pantalla: Super Retina XDR de 5.8"", OLED Multi Touch con Tecnologia True Tone
Camara: Principal Triple de 12MP: Ultra Wide de f 2.4 con lente de 5 elementos y FOV 120ø, Wide de f 1.8 y Telephoto de f 2.0, ambas con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 4G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 y 60 fps, Full HD 1080p a 30 y 60 fps, HD 720p a 30 fps - Time-Lapse - Slow Motion 1080p a 120 y 240 fps - Video de QuickTake con seguimiento de sujeto - Estabilizacion cinematografica (1080p y 720p)
Sensor: Face ID (reconocimiento facial a traves de la camara TrueDepth) - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;7893000;11051000
