Codigo Proveedor ;Nombre ;Nombre Largo;Detalle ;Familia;Clase ;Costo ;Precio Lista
356909;Tarj Samsung P/Cerradura Univ;Tarj Samsung P/Cerradura Univ;La Tarjeta De Cerradura Electronica Samsung Universal Es La Manera Mas Segura De Abrir Y Cerrar La Puerta De Casa, El Comercio O La Oficina. Solo Tienes Que Realizar Un Peque¤o Movimiento Para Entrar Y Salir De Los Lugares Que Deseas. Tiene Un Dise¤o Ligero, Que Permite Que Sea Guardado Y Transportado A Cualquier Lugar Sin Causar Molestias.;23;23009;42000;58000
1107012;Cerradura Electronica Hyu-420 ;Cerradura Electronica Hyu-420 ;Sistema De Bloqueo: Automatico Y Manual . Sistema De Prevencion: Da¤os Y Hackers . Sistema De Bloqueo: Con Tarjeta Y Codigo Secreto . Funcion: Autobloqueo . Material: Fundicion En Aluminio Y Aleacion De Zinc . Color: Negro/Plata;23;23009;717000;1004000
1107005;Cerradura Electronica Hyu-580 ;Cerradura Electronica Hyu-580 ;Marca: Hyundai . Modelo: Hyu-580 . Color: Negro/Plata . Caracteristicas: Metodos De Apertura Mediante Identificacion De Contrase¤a Numerica, Huella Digital O Aproximacion De Tarjeta Ic Card - Sistema De Traba Automatico/Manual - Bloquea Automaticamente Al Recibir 3 Codigos Incorrectos Seguidos - Indicador De Bateria Baja . Boton: Touch Screen, Retroiluminado Por Led . Alimentacion: Requiere 4 Pilas Aa . Peso Bruto (G): 1462 . Dimensiones De Embalaje (Cm): 20.9 X 8.5 X 26.1;23;23009;948000;1327000
1106992;Cerradura Electronica Hyu6450 ;Cerradura Electronica Hyu6450 ;Rendimiento: Certificacion Ip54, Resistente Al Polvo Y Al Agua . Marca: Audisat . Modelo: E-02 . Color: Blanco/Negro . Capacidad: Maxima De 100 Kg . Velocidad: Maxima De 25 Km/H . Tama¤o De La Rueda: 8.5 . Motor: Con Potencia Maxima De 400 Watts . Distancia: Una Recarga Permite Recorrer Hasta 20 Km . Caracteristicas: Estructura Plegable - Sistema De Frenado E-Abs . Rendimiento: Certificacion Ip54, Resistente Al Polvo Y Al Agua . Temperatura De Operacion: -10 40 C . Led: Integrados En La Estructura . Bateria: Interna, Recargable . Tiempo De Recarga: Requiere De 4 Horas;23;23009;1195000;1673000
955768;Monopatin Eletrico Audisat ;Monopatin Eletrico Audisat ;Rendimiento . Certificacion Ip54, Resistente Al Polvo Y Al Agua . Marca . Audisat . Modelo: E-02 . Color: Blanco/Negro . Capacidad: Maxima De 100 Kg . Velocidad: Maxima De 25 Km/H . Maxima Inclinacion De Ascenso: Soporta Hasta 11 . Tama¤o De La Rueda: 8.5 . Motor: Con Potencia Maxima De 400 Watts . Distancia: Una Recarga Permite Recorrer Hasta 20 Km . Caracteristicasestructura Plegable - Sistema De Frenado E-Abs . Rendimiento: Certificacion Ip54, Resistente Al Polvo Y Al Agua . Temperatura De Operacion: -10  40 C . Led: Integrados En La Estructura . Bateria: Interna, Recargable . Tiempo De Recarga: Requiere De 4 Horas;23;23007;1360000;1904000
1157222;Smart Balance Wheel 6.5 ;Smart Balance Wheel 6.5 ;Marca: Interbras . Modelo: Smart Balance Wheel . Capacidad: Maxima: 100 Kg . Velocidad: Maxima: 10 Km/H . Tama¤o De La Rueda: 6.5 . Caracteristicas: Motor Silencioso Inteligente . Bluetooth: Integrado . Alto Parlante: Integrados . Temperatura De Operacion: -15 C A 50 C . Led: Integrado . Bateria: Litio/36V . Tiempo De Recarga: Requiere De 2 A 3 Horas . Voltaje: 100 - 240 V  50/60 Hz . Peso Bruto (G): 7723 . Dimensiones De Embalaje (Cm): 65 X 24.3 X 23.2;23;23007;701000;981000
1043945;Nintendo Switch Lite ;Nintendo Switch Lite ;Marca: Nintendo . Modelo: Switch Lite Hdh-001 . Pantalla: Lcd De 5.5, Touch Screen . Procesador Cpu: Nvidia Custom Tegra . Memoria Interna: Total De 32Gb . Memoria Externa: Soporta Tarjeta Micro Sd De Hasta 2Tb . Conectividad Wireless: Wi-Fi Ieee 802.11 A/B/G/N/Ac - Bluetooth 4.1 - Nfc . Sensor: Acelerometro - Giroscopio . Boton: Left Stick - Right Stick - A/B/X/Y/L/R/Zl/Zr/ - Boton De Control - Enciende/Apaga - Boton Power - Volumen - Home - Boton De Captura  . Interfaz: Slot Para Micro Sdhc/Sdxc - Slot Para Game Card - Mini Jack 3.5 Mm . Bateria: 3.570 Mah De Iones De Litio . Duracion De Bateria: Entre 3 A 7 Horas - Varia Segun El Juego . Tiempo De Recarga: Requiere Aproximadamente 3 Horas . Alimentacion: A Traves Del Puerto Micro Usb-C . Voltaje: 100 - 240  50/60 Hz . Peso Bruto (G): 594 . Dimensiones De Embalaje (Cm): 22.4 X 8.4 X 11.2;23;23004;1816300;2542820
580007;Calculadora Casio Fc-200V;Calculadora Casio Fc-200V;Pantalla De 4 Lineas . Matriz De Puntos 31  96 . Digitos De Mantisa Y Exponente: 10  2 . Teclas De Plastico . Alimentacion: Pila Aaa Y Panel Solar . Nueva Tapa Deslizable . Dimensiones (Alt. X Anch. X Prof.): 12,2 X 80 X 161 Mm . Peso: 103 G . Codigo Ean: 49-71850-167006 (Junio: 172130) Blister (Fc-200V-S-Eh) . Caja (Lar. X Anch. X Alt.): 245,0 X 155,0 X 43,1 Mm . Peso Total: 363,7 G . Idiomas: Ingles, Espa¤ol, Frances . ;23;23008;380000;531000
1060218;Calculadora Hp-17Bii+ Financ ;Calculadora Hp-17Bii+ Financ ;Modelo: 17Bll . Display: Lcd De 2 Lineas Con 22 Caracteres . Dimensiones De Embalaje (Cm): 18 X 4.1 X 23.7 . Peso Bruto (G): 367 . Caracteristicas: Analisis De Flujo De Caja: Irr, Npv, Nfv - Conversion De Monedas - Analisis De Inversion - Metodos De Depreciacion: Sl, Db, Soyd Y Acrs - Calculo De Porcentaje - Operacion Aritmetica Con Fechas . Memoria: 28Kb . Funciones: Cuenta Con Mas De 250 Funciones: Matematica General, Estadistica, Depreciacion, Amortizacion . Color: Plata . Marca: Hp;23;23008;717000;1004000
30939;Calculadora Sharp El-1750V;Calculadora Sharp El-1750V;Marca: Sharp . Modelo: El-1750V . Color: Blanco . Display: Lcd Para Hasta 12 Digitos . Caracteristicas: Soporte De Metal Para Papel - Calculo De Costos  Ventas  Margen Y Media - Funcion De Gran Total Con Selector . Bateria: Requiere 4 Pilas Aa . Velocidad De Impresion: 2  0 Lineas Por Segundo . Tipo De Papel Soportado: 80 Mm . Impresion: 2 Colores . Teclas: Cambio - Dos Ceros - Calculo Total Y Total General . Memoria: 4 Teclas De Memoria Independientes . Peso Bruto  G  : 672 . Dimensiones De Embalaje  Cm  : 16  8 X 7  7 X 31  7;23;23008;347000;485000
