Codigo Proveedor ;Nombre ;Descripcion larga;Detalle Producto ;fam;clase;costo;lista
15139;Cama Autitos C/ Auxiliar;Cama Autitos C/Cama Auxiliar (Moveisestrela)      ;Panel con super pistas de carritos, Imagenes en impresion digital de alta calidad, Pintura atoxica, Carreteras reforzadas, Resistencia y durabilidad, Soporta hasta 90Kg sin impacto, cama auxiliar con ruedas, alt 1160 mm, Larg 1935mm, Prof 1110mm;37;37001;1318000;1977000
49450F;Kit Cocina Yasmin Amendoa;Cocina Yasmin Amendoa/Off (Moveissul)             ;Manija de plastico color champagne, patas regulables en altura, Dimensiones: Alt 1900mm, Larg 1230mm, Prof 510mm;2;2005;689000;1034000
153181795;Comoda 4Caj 1P Racer;Comoda 4Caj 1Pt Racer (Estrela)                   ;Pintura atoxica, disenhao infantil estilo racer, manijas tematicas, Dimensiones: Alt 880mm, Larg, 910mm, Prof 390mm;2;2002;504000;756000
153301795;Comoda 4Caj 1P Realeza;Comoda 4Caj 1Pt Realeza Bl (Estrela0              ;Pintura atoxica, disenhao infantil estilo realeza, manijas tematicas, Dimensiones: Alt 880mm, Larg, 910mm, Prof 390mm;2;2002;504000;756000
4839SNU;Comoda Lisboa 4Caj 1Pt Salmao;Comoda Lisboa 4Caj 1Pt Salmao/Nude (Moveissul)    ;1 Puerta, 4 Cajones, Divisioria interna, Dimensiones: Alt 920mm, Larg 800mm, Prof 393mm;2;2002;464000;696000
18251321;Frutera Malu Arezzo Rustico;Frutera Malu Arezzo Rustico (Nicioli)             ;Balcon para colocar Horno y Microondas, No contiene cajones, 1 Puerta, Patas de PVC, Dimensiones: Alto: 1085mm, Larg: 690mm, Prof: 450mm.;2;2005;429000;644000
1825201;Frutera Malu Blanco;Frutera Malu Blanco (Nicioli)                     ;Balcon para colocar Horno y Microondas, No contiene cajones, 1 Puerta, Patas de PVC, Dimensiones: Alto: 1085mm, Larg: 690mm, Prof: 450mm.;2;2005;429000;644000
844023;Ropero Roma 4P Ipe/Tex;Ropero Roma 4Ptz Ipe/Tex (Maxel)                  ;Madera MDP, 4 Puertas, 2 cajones, Manijas exclusivas, Corredizas metalicas, Amplio espacio interno, Dimensiones: Alt 1830mm, Larg 1200mm, Prof 500mm;2;2002;875000;1313000
844021;Ropero Roma 4P Ipe/Vanilla ;Ropero Roma 4Ptz Ipe/Vanilla Tex (Maxel)          ;Madera MDP, 4 Puertas, 2 cajones, Manijas exclusivas, Corredizas metalicas, Amplio espacio interno, Dimensiones: Alt 1830mm, Larg 1200mm, Prof 500mm;2;2002;875000;1313000
844095;Ropero Roma 4P Niquel/Bl;Ropero Roma 4Ptz Niquel/Bl (Maxel)                ;Madera MDP, 4 Puertas, 2 cajones, Manijas exclusivas, Corredizas metalicas, Amplio espacio interno, Dimensiones: Alt 1830mm, Larg 1200mm, Prof 500mm;2;2002;875000;1313000
62860108;Ropero Soft 6P Nogal;Ropero Soft 6Ptz Nogal/Vainilla T (Demobile)      ;2 cajones externos, Corredizas metalicas, Tiradores color bronce, Patas de PVC, Percheros de madera revestido, Dimensiones: Alt 1810mm, Larg 1480mm, Prof 470mm;2;2002;906000;1359000
849582;Ropero Comoda Capri Cedro;Ropero-Comoda Capri Cedro (Albatroz)              ;2 puertas, 4 Gavetas, Incluye espejo, Patas en PVC, Medidas: Altura 180 cms, Ancho 130 cms, Profundiad 38 cms;2;2002;777000;1166000
2226341795;Ropero 2P 1Caj Gutti Flex;Ropero 2Ptz 1Caj Gutti Flex Bl-Azul-Rosa (Estrela);Pintura atoxica, 2 puertas, 1 cajon, Division lateral, Ropero flex reversible, Dimensiones: Alt 1880mm, Larg 790mm, Prof 400mm;2;2002;588000;882000
226331795;Comoda 3Caj Gutti Flex;Comoda 3Caj Gutti Flex/Azul-Bl-Rosa (Estrela)     ;Pintura atoxica, 3 cajones, con patas, flex reversible, Dimensiones: 810mm, Larg 600mm, Prof 400mm;2;2002;310000;465000
224276489;Cuna Gutti Bl;Cuna Gutti Bl (Estrela)                           ;Pintura atoxica, para colchon de 1,30x60 color blanco, Dimensiones: Alt 740mm, Larg 1330mm, Prof 680mm;2;2002;453000;680000
224286489;Cuna-Comoda Gutti;Cuna-Comoda Gutti Bl (Estrela)                    ;Pintura atoxica, comoda incluida c/ 3 cajones, para colchon de 1,30x60 color blanco, Dimensiones: Alt 740mm, Larg 1730mm, Prof 680mm;2;2002;688000;1032000
66311;Kit de Cocina Yara Carvalho;Kit Yara 160 Carvalho/Rust Off White(Nicioli)     ;Puerta basculante con piston a gas, divisorias internas y amplio espacio, espacio para horno y microondas, apliques exclusivos, Alt 1900mm, Larg 1600mm, Prof 430mm;2;2005;999000;1499000
6381;Kit de Cocina Yara Bl/Neg;Kit Yara 160 Blanco/Negro (Nicioli)               ;Puerta basculante con piston a gas, divisorias internas y amplio espacio, espacio para horno y microondas, apliques exclusivos, Alt 1900mm, Larg 1600mm, Prof 430mm;2;2005;999000;1499000
891781;Kit de Cocina Magazin 90m;Kit Magazin 90 Carv/Rust Off White Trid(Nicioli)  ;4 puertas, 1 cajon y mesada amplia, Incluye tapa para bajo mesada, Alto: 1.70 mts, Largo: 0.91 mts, Profundidad: 0.36 mts.;2;2005;592000;888000
1876781;Kit de Cocina Magazin 120m;Kit Magazin 120 Carv/Rust Off White Trid(Nicioli) ;7 puertas, 1 cajon y mesada amplia, Incluye tapa para bajo mesada, Alto: 1.70 mts, Largo: 1.21 mts, Profundidad: 0.36 mts.;2;2005;725000;1088000
1702;Juego De Comedor C/4S Tubular ;Jg De Mesa C/4Sillas Tubular Redond (Filmoveis)   ;Tapa en mdp, canhao con pintura esmaltada, 4 sillas forradas en cuerina estampada;2;2008;855000;1283000
2357;Juego De Comedor C/6S Tubular;Jg De Mesa C/6Sillas Tubular Bl (Filmoveis)       ;Tapa en mdp, canhao con pintura esmaltada, 6 sillas forradas en cuerina estampada.  Dimensiones: Mesa Alt 750mm Largo 1170mm Prof 700mm, Silla Alt 820mm Larg 350mm Prof 420mm;2;2008;1065000;1598000
203814;Estante Nina Avela/Negro;Estante Nina Avela/Negro (Lineabrasil)            ;Tamanhao de TV hasta 50´´, Puerta con amplio espacio interior, Compacto y funcional, Dimensiones (mm): Alto 1800 x Largo 1377 x Profundidad 395;2;2002;704000;1056000
510207;Comoda Veneza C/Espejo Canela;Comoda Veneza C/Espejo Canela (Albatroz)          ;5 cajones con rieles telescopicos, Espejo 60 cm de alto, 38,5 cm de ancho y 0,2 mm de grosor, Fabricado en MDP, Pies incluidos, Alto: 151 cm, Ancho: 63 cm, Profundidad: 40 cm;2;2002;510000;765000
1005176;Comoda Belize C/Espejo Carvalh;Comoda Belize C/Espejo Carvalh/Grife Off(Albatroz);Cajoneras con corredizas telescopicas, 4 cajones (1 con llave), Manija MDF, Espejo incluido, Alt: 1610mm, Larg 1090mm, Prof 410mm;2;2002;948000;1422000
