Codigo Proveedor ;Nombre Producto;descripcion larga ;familia ;clase ;Detalle ;costo ;lista 
1GUAYAC40;Guitarra Clasica  Yamaha;Guitarra Clasica  Yamaha;21;21006;Guitarra Clasica  Yamaha;917000;1284000
1GUETGKANSASDSBE;Guitarra Electro-Acustica Sunburst Laquer;Guitarra Electro-Acustica Sunburst Laquer;21;21006;Guitarra Electro-Acustica Sunburst Laquer;1337000;1872000
1GUETGVEGASSBE;Guitarra Electro-Acustica Nylon Sunburst Laqueado;Guitarra Electro-Acustica Nylon Sunburst Laqueado;21;21006;Guitarra Electro-Acustica Nylon Sunburst Laqueado;1309000;1833000
1TECYAPSRF51E;Teclado Portatil  Yamaha;Teclado Portatil  Yamaha;21;21006;Teclado Portatil  Yamaha;1008000;1412000
1TECYAPSRE273E;Teclado Portatil  Yamaha;Teclado Portatil  Yamaha;21;21006;Teclado Portatil  Yamaha;1309000;1833000
1TECYAPSRE373E;Teclado Portatil  Yamaha;Teclado Portatil  Yamaha;21;21006;Teclado Portatil  Yamaha;1841000;2578000
1TECYAPSRE463E;Teclado Portatil  Yamaha;Teclado Portatil  Yamaha;21;21006;Teclado Portatil  Yamaha;3003000;4205000
4FUNPKORION-C2324;Clas.Gig Bag 4Mm Blue  Funda Para Guitarra;Clas.Gig Bag 4Mm Blue  Funda Para Guitarra;21;21006;Clas.Gig Bag 4Mm Blue  Funda Para Guitarra;147000;206000
4FUNPKK10-61;Funda Teclado Negra;Funda Teclado Negra;21;21006;Funda Teclado Negra;266000;373000
1BATNATSA-038;Bateria Natal Dna5S-Np Negro Perlado;Bateria Natal Dna5S-Np Negro Perlado;21;21006;Bateria Natal Dna5S-Np Negro Perlado;2975000;4165000
1GUEYACX40E;Guitarra Electroacustica;Guitarra Electroacustica;21;21006;Guitarra Electroacustica;1309000;1833000
