Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
11111;Perfume Miss Dior 100ml;Perfume Miss Dior Edp 100Ml;"La Eau de parfum Miss Dior celebra la belleza de una Rosa de Grasse sensual, ataviada con notas frescas y salpicada con un vivaz palo de rosa.La feminidad moderna y decidida de un sensual perfume floral.""He refinado su floralidad para hacerla mas carnal y sugerente. Tenia que surgir como un flechazo.  Una declaracion de amor al amor!"" .";52;52002;627000;941000
11112;Perfume 212 Sexy 100ml;Perfume Carolina Herrera 212 Sexy Edp 100Ml ;"Como epitome de la mujer de Carolina Herrera, esta seductora mezcla de cautivante mandarina, bergamota y pimienta rosa salpicada de petalos de flores, gardenia y toques de algodon de azucar calentados con almizcle seguramente seducira desde el primer encuentro.212 Sexy de Carolina Herrera es una fragancia de la familia olfativa ambar Floral para Mujeres. 212 Sexy se lanzo en 2004. La Nariz detras de esta fragrancia es Rosendo Mateu. Las Notas de Salida son pimienta rosa, mandarina y bergamota; las Notas de Corazon son algodon de azucar, gardenia, flores, pelargonio y rosa; las Notas de Fondo son vainilla, almizcle, sandalo, caramelo, pachuli y violeta.";52;52002;443000;664000
11113;Perfume Euphoria 100ml;Perfume Calvin Klein Euphoria Edp 100 Ml;"El Perfume Euphoria EDP  Calvin Klein es sin dudas, el mejor accesorio que la mujer puede tener, ya que la hara potenciar su atractivo y belleza natural con una fragancia elegante, cremosa, calida y femenina.Euphoria de Calvin Klein es una fragancia de la familia olfativa ambar Floral para Mujeres. Euphoria se lanzo en 2005. Euphoria fue creada por Dominique Ropion, Carlos Benaim y Loc Dong. Las Notas de Salida son granada, frambuesa, maracuya (fruta de la pasion), caqui (persimo), durazno (melocoton) y notas verdes; las Notas de Corazon son orquidea, flor de loto y champaca; las Notas de Fondo son caoba, ambar, almizcle, violeta, pachuli y vainilla. Este perfume es el ganador del premio FiFi Award Fragrance Of The Year Women`s Luxe 2006.";52;52002;285000;413000
11114;Perfume Midnight Fantasy 100ml;Perfume Britney Spears Midnight Fantasy Edp 100 Ml ;Midnight Fantasy Britney Spears, es una fragancia floral y un poco atalcada con un ligero toque citrico, es juvenil y coqueta, es dulce y huele a cereza con vainilla, cuando lo uses te recordara el aroma de los ositos gominola. Igualmente se siente cremosa a medida que se va secando en la piel. Su duracion es de 4 a 5 horas y su estela es pesada.;52;52002;164000;230000
11115;Perfume Si Pour  Femme 100ml;Perfume Giorgio Armani Si Pour Femme Edp 100 Ml ;"A la vez elegante, voluptuoso, intenso y suave, Si eau de parfum permanece en la piel y encanta los sentidos.Si de Giorgio Armani es una fragancia de la familia olfativa Chipre Frutal para Mujeres. Si se lanzo en 2013. La Nariz detras de esta fragrancia es Christine Nagel. La Nota de Salida es casis (grosellero negro); las Notas de Corazon son rosa de mayo y fresia; las Notas de Fondo son vainilla, pachuli, ambroxan y notas amaderadas.";52;52002;509000;712000
11116;Perfume Eternity Fem 100ml;Perfume Calvin Klein Eternity Woman Eau De Parfum 100 Ml;"Eternity Woman Eau de Parfum esta inspirada en los suenos y en los valores eternos de la mujer como el amor,la amistad,la feminidad etc.Representa lo eterno, lo perdurable en el tiempo";52;52002;222000;310000
11117;Perfume Dolce&Gabbana 100ml;Perfume Dolce&Gabbana Light Blue Pour Homme Eau De Toilette 100Ml;"Light Blue de Dolce & Gabbana, es una fragancia de mujer femenina y fresca.El verano llega al Mediterraneo y el amor surge de entre sus olas. Light Blue representa la alegria de vivir, la sensualidad del estilo de vivir del mediterraneo. Esta fragancia se instala n nuestra piel como si se tratase de la brisa marina un dia de verano en la playa, frente al mar mediterraneo, observando la grandiosidad de las olas, junto a nuestro nuevo amor. Su aroma se funde en nuestra piel como la intensidad de las noches perfectas de verano bajo la luz de la luna. Light Blue es un perfume que engancha tus sentidos a la aventura de vivir un romance de verano.Dolce & Gabbana conjugan las frutas y las flores mediterraneas para dar origen a una fragancia floral afrutada.";52;52002;482000;675000
11118;Perfume Dior J Adore Edp 100ml;Perfume Dior J Adore Eau De Parfum 100 Ml;"J adore de Christian Dior es una fragancia de la familia olfativa Floral Frutal para Mujeres. J adore se lanzo en 1999. La Nariz detras de esta fragrancia es Calice Becker. Las Notas de Salida son pera, melon, magnolia, durazno (melocoton), mandarina y bergamota; las Notas de Corazon son jazmin, lirio de los valles (muguete), nardos, fresia, rosa, orquidea, ciruela y violeta; las Notas de Fondo son almizcle, vainilla, zarzamora (frambuesa negra) y cedro. Este perfume es el ganador del premio FiFi Award Best National Advertising Campaign / TV 2007.";52;52002;482000;675000
11119;Perfume Halloween Edt 100ml;Perfume Halloween Edt 100Ml;"Halloween de Halloween es una fragancia de la familia olfativa ambar Floral para Mujeres. Halloween se lanzo en 1997. La Nariz detras de esta fragrancia es Max Gavarry. Las Notas de Salida son violeta, notas marinas, hoja de platano y petit grain; las Notas de Corazon son violeta, magnolia, lirio de los valles (muguete), nardos y pimienta; las Notas de Fondo son incienso, vainilla de Madagascar, sandalo y mirra.";52;52002;190000;266000
11120;Perfume Lady Million Edp  80ml;Perfume Paco Rabanne Lady Million Edp 80 Ml ;Juega con fuego y no obedezcas a nadie, salvo a tus fantasias. Deslumbra como nunca. Y trae suerte. Lady MILLION Eau de parfum provoca un sentimiento de vertigo. Una fragancia para mujeres atrevidas y a las que les gusta llamar la atencion alla donde van. Sus notas florales y amaderadas combinan flores frescas pero carnales con un toque sexy de pachuli. Un aroma fresco, seductor, sensual y adictivo que no pasa desapercibido.;52;52002;419000;586000
