cod proveedor;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo ;Precio Lista
1191233;Celular SAMSUNG A12 DS 4+64G;"Celular SAMSUNG A127M/DS A12 6.5""4+64G LTE ";"Modelo : Galaxy A12 SM-A127M
Color: Negro, Azul
Memoria Interna: 64gb
Memoria Ram: 4gb. 
Procesador CPU: Octa Core (Quad Core de 2.3GHz + Quad Core de 1.8GHz)
Sistema Operativo: Android 11
Pantalla: TFT de 6.5"" HD+, con Tecnologia PLS (Plane to Line Switching)
Camara: Principal Cuadruple: Wide de 48MP f/2.0, Ultra Wide de 5MP f/2.2, Depth Sensor de 2MP f/2.4 y Macro de 2MP f/2.4 + Camara Frontal de 8MP f/2.2
BAteria: 5.000 mAH
Memoria Externa: Soporta tarjeta Micro SD de hasta 1TB
Sensor: Huella Dactilar - ACelularermetro - Sensor de Adherencia - Sensor de Luz Ambiente - Proximidad
Formatos de Audio: Reproduce: MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX y OTA
Formato de Video: Reproduce: MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV y WEBM
";7;7001;1407000;1970000
1107760;Celular SAMSUNG A21 DS  4+64 ;"Celular SAMSUNG A217M/DS A21S 6.5"" 4+64 LT ";"Modelo : Galaxy A21s SM-A217M/DS
Color: Negro, Azul
Memoria Interna: 64gb
Memoria Ram: 4gb. 
Procesador CPU: Octa Core 2.0GH
Sistema Operativo: Android 11
Pantalla: Infinity-O de 6.5"" HD+, con Tecnologia PLS (Plane to Line Switching)
Camara: Principal Cuadruple: Wide de 48MP f/2.0 con Zoom Digital 8x, Ultra Wide de 8MP f/2.2 con FOV 123?, Macro de 2MP f/2.4 y Depth Sensor de 2MP f/2.4 + Camara Frontal de 13MP f/2.2
BAteria: 5.000 mAH
Memoria Externa: Soporta tarjeta Micro SD de hasta 512GB
Sensor: Huella Dactilar - ACelularermetro - Sensor de Adherencia - Sensor de Luz Ambiente - Proximidad
Formatos de Audio: Reproduce: MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX y OTA
Formato de Video: Reproduce: MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV y WEBM
";7;7001;1501350,3;2102000
1189100;Celular SAMSUNG S20FE DS 128G;"Celular SAMSUNG G780G/DS S20FE 6.5""6+128G ";"Modelo : Galaxy S20 FE SM-G780G/DS
Color: Azul, Blanco, Verde, Rojo, Violeta
Memoria Interna: 128gb
Memoria Ram: 6gb. 
Procesador CPU: Octa Core (Dual Core de 2.8GHz + Dual Core de 2.4GHz + Quad Core de 1.8GHz)
Sistema Operativo: Android 11
Pantalla: Infinity O de 6.5"" Full HD+, Super AMOLED
Camara: Principal Triple: Wide de 12MP f/1.8, Ultra Wide de 12MP f/2.2 y Telefoto de 8MP f/2.4 + Camara Frontal de 32MP f/2.2
BAteria: 4.500 mAh
Memoria Externa: Soporta tarjeta Micro SD de hasta 1TB
Sensor: Huella Dactilar - ACelularermetro - Giroscopio - Proximidad - Sensor de Luz RGB - Sensor Geomagn?tico - Sensor Hall - Barmetro
Formatos de Audio:Reproduce: MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF y APE
Formato de Video: Reproduce: MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV y WEBM
";7;7001;3753375,75;5255000
1190687;Celular SAMSUNG S20FE DS 256G;"Celular SAMSUNG G780G/DS S20FE 6.5""8+256G ";"Modelo : Galaxy S20 FE SM-G780G/DS
Color: Blanco, Verde, Rojo, Violeta
Memoria Interna: 256gb
Memoria Ram: 8gb. 
Procesador CPU: Octa Core (Dual Core de 2.8GHz + Dual Core de 2.4GHz + Quad Core de 1.8GHz)
Sistema Operativo: Android 11
Pantalla: Infinity O de 6.5"" Full HD+, Super AMOLED
Camara: Principal Triple: Wide de 12MP f/1.8, Ultra Wide de 12MP f/2.2 y Telefoto de 8MP f/2.4 + Camara Frontal de 32MP f/2.2
BAteria: 4.500 mAh
Memoria Externa: Soporta tarjeta Micro SD de hasta 1TB
Sensor: Huella Dactilar - ACelularermetro - Giroscopio - Proximidad - Sensor de Luz RGB - Sensor Geomagn?tico - Sensor Hall - Barmetro
Formatos de Audio:Reproduce: MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF y APE
Formato de Video: Reproduce: MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV y WEBM
";7;7001;4271082,75;5980000
1189087;Celular SAMSUNG S21DS 128 5G;"Celular SAMSUNG G991B/DS S21 6.2""8+128 5G ";"Modelo : Galaxy S21 5G SM-G991B/DS
Color: Violeta
Memoria Interna: 128gb
Memoria Ram: 8gb. 
Procesador CPU: Octa Core (Core de 2.9GHz + Three Core de 2.8GHz + Quad Core 2.2GHz)
Sistema Operativo: Android 11
Pantalla: Infinity-O de 6.2"" Full HD+, Dynamic AMOLED 2x con proteccin Corning Gorilla Glass Victus
Camara: Principal Triple: Wide Angle de 12MP f/1.8, Ultra Wide de 12MP f/2.2 y Teleobjetiva de 64MP f/2.0 con Zoom 30x + Camara Frontal de 10MP de f/2.2 con Enfoque automatico
BAteria: 4.000 mAh
Sensor: Huella Dactilar - ACelularermetro - Giroscopio - Proximidad - Sensor de Luz Ambiente - Sensor Geomagn?tico - Sensor Hall - Barmetro
Formatos de Audio:Reproduce: MP4, M4V, 3GP, 3G2, AVI, FLV, MKV y WEBM
";7;7001;6143456,4;8601000
1136470;Celular SAMSUNG NT20 DS 256GB;"Celular SAMSUNG N980F/DS NT20 6.7""8+256GB ";"Modelo : Galaxy Note 20 SM-N980F/DS
Color: Cinza Grey
Memoria Interna: 256gb
Memoria Ram: 8gb. 
Procesador CPU: Exynos 990 Octa Core (Dual Core de 2.73GHz + Dual Core de 2.50GHz + Quad Core de 2.0GHz)
Sistema Operativo: Android 11
Pantalla: Infinity-O de 6.7"" Full HD+, Super AMOLED Plus - Habilitada para S Pen
Camara: Principal Triple de 64MP f/2.0 con Zoom Digital 30x e ?ptico 3x, Ultra Wide de 12MP f/2.2 y Wide Angle de 12MP f/1.8 + Camara Frontal de 10MP de f/2.2 con Enfoque automatico
BAteria: 4.300 mAh
Sensor: Huella Dactilar - ACelularermetro - Giroscopio - Proximidad - Sensor de Luz Ambiente - Sensor Geomagn?tico - Sensor Hall
Formatos de Audio:Reproduce: MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX y OTA";7;7001;5737919,25;8034000
1136524;Celular SAMSUNG NT20 ULT 256B;"Celular SAMSUNG N985F/DS NT20 ULT 6.9""8+256B";"Modelo : Galaxy Note 20 Ultra SM-N985F/DS
Color: Blanco
Memoria Interna: 256gb
Memoria Ram: 8gb. 
Procesador CPU: Octa Core (Dual Core de 2.73GHz + Dual Core de 2.50GHz + Quad Core de 2.0GHz)
Sistema Operativo: Android 11
Pantalla: Infinity-O de 6.9"" Quad HD+, Dynamic AMOLED 2x con proteccin Corning Gorilla Glass Victus - Habilitada para S Pen
Camara: Principal Triple: Wide Angle de 108MP f/1.8 con Night Mode, Ultra Wide de 12MP f/2.2 y Teleobjetiva de 12MP f/3.0 con Zoom 50x + Camara Frontal de 10MP de f/2.2 con Enfoque automatico
BAteria: 4.500 mAh
Sensor: Huella Dactilar - ACelularermetro - Giroscopio - Proximidad - Sensor de Luz Ambiente - Sensor Geomagn?tico - Sensor Hall - Sensor AF
Formatos de Audio:Reproduce: MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX y OTA";7;7001;7696577,4;10776000
1189285;SOUNDBAR SAMSUNG HW-T400;SOUNDBAR SAMSUNG HW-T400 SOUN 2.0 BT 2V;"Modelo : HW-T400
Color: Negro
Potencia: 40 watts
Alto Parlante: 4 en total
Subwoofer: Integrado
Conectividad: Bluetooth y NFC
Caracteristicas: Sistema de audio 2.0 - El soundbar puede ser fijado en la pared
Interfaz: USB - Auxiliar Mini Jack 3.5 mm - Optical IN";21;21004;1078556,25;1510000
1140194;SOUNDBAR SAMSUNG MX-T40 ;SOUNDBAR SAMSUNG MX-T40 BLUETOOTH 2V PR;"Modelo : Giga Party Audio MX-T40
Color: Negro
Potencia: 300 watts
Alto Parlante: 4 en total
Subwoofer: Integrado
Conectividad: Bluetooth
Funciones: Group Play, permite interconectar hasta 10 cajas Party Audio - Stereo Group posibilita la conexin de 2 cajas Party Audio para reproduccin de sonido en 2 canales estereos
Caracteristicas: Controles de volumen y reproducciones integrados en la estructura - Permite la comunicacin simultanea con hasta 2 dispositivos via Bluetooth - Bass Booster para potencializar las frecuencias graves - Es compatible con aplicacin Giga Party Audio
Audio: Bidireccional y envolvente
Interfaz: USB - Auxiliar Mini Jack 3.5 mm - Entrada para Micrfono - Auxiliar IN y OUT
Led: Integrado en la parte frontal de la caja, con modos de iluminacin seleccionables: Party, Ambient, Dance, Thunder Bolt, Star y Lover";21;21004;1717061,55;2404000
1117561;SOUNDBAR SAMSUNG R450 ;SOUNDBAR SAMSUNG R450 SOUNDBA 2.1 BT 2V;"Modelo : HW-R450
Potencia: 200 watts
Subwoofer: 6.5""
Conectividad: Bluetooth
Caracteristicas: Sistema 2.1
Audio: Dolby Digital
Interfaz: Auxiliar IN - Audio Digital IN - USB
";21;21004;1207983;1692000
1189605;AURICULAR SAMSUNG BUDS SMR180;AURICULAR BT SAMSUNG GALAXY BUDS LIV SMR180 ;"Modelo : Galaxy Buds Live SM-R180NBALTA
Color: Blanco, Azul
Microfono: Integrados, 3 en cada auricular (1 interno y 2 externos)
Funciones: Buds Together, permite conectar dos pares de auriculares Galaxy Buds Live al mismo dispositivo mvil
Conectividad: Bluetooth 5.0
Compatibilidad: Dispositivos mviles habilitados con sistema operativo Android 5.0 e iOS 10.0, o versiones superiores de los mismos
Caracteristica: Habilitado para llamadas en modo Manos Libres - Posee recursos Active Noice CanCelularlation (ANC) que minimiza el ruido ambiente en conversaciones telefnicas - Con el sensor tactil es posible controlar la reproduccin de m?sicas y responder llamadas telefnicas - Soporta comandos de voz a trav?s de la asistente virtual Bixby Smart - Al detectar la voz del usuario cambia automaticamente del modo ANC al modo Sonido Ambiente
BAteria: Auricular: 60 mAh - Case: 472 mAh
Duracion de la bateria: Entre 6 ~ 21 horas, dependiendo de la configuracin de uso
Sensor: ACelularermetro - Sensor Hall - Proximidad - Giroscopio - VPU, para captura de voz a trav?s del movimiento de la mandibula
";23;23002;819702,75;1148000
1162929;AURICULAR SAMSUNG PRO SMR190 S;AURICULAR BT SAMSUNG GALAXY BUDS PRO SMR190 S;"Modelo : Galaxy Buds Pro SM-R190
Color:Silver
Microfono: Integrados, 3 en cada auricular (1 interno y 2 externos)
Funciones: Buds Together, permite conectar dos pares de auriculares Galaxy Buds Pro al mismo dispositivo mvil - Auto Switch, cambia automaticamente la conexin del auricular entre 2 dispositivos diferentes, como un smartphone y una tablet, por ejemplo
Conectividad: Bluetooth 5.0
Compatibilidad: Dispositivos Android 7.0 (con memoria RAM de hasta 1.5GB), o versiones superiores
Caracteristica: Habilitado para llamadas en modo Manos Libres - Posee recurso Active Noice CanCelularlation (ANC) que minimiza el ruido ambiente en conversaciones telefnicas - Con el sensor tactil es posible controlar la reproduccin de m?sicas y responder llamadas telefnicas - Soporta comandos de voz a trav?s de la asistente virtual Bixby Smart - Al detectar la voz del usuario cambia automaticamente del modo ANC al modo Sonido Ambiente
BAteria: Auricular: 61 mAh - Case: 472 mAh, compatible com recarga inalambrica Qi
Duracion de la bateria: Hasta 5 horas de reproduccin y llamadas telefnicas - Con la carga del case, rinde hasta 18 horas para reproduccin y llamadas telefnicas
Sensor: ACelularermetro - Sensor Hall - Proximidad - Giroscopio
";23;23002;1190726,1;1668000
1009859;AURICULAR SAMSUNG SM-R170 ;AURICULAR BT SAMSUNG GALAXY BUDS SM-R170 PRE;"Modelo : Galaxy Buds SM-R170NZKATPA
Color: Negro
Microfono: Integrados, 1 en cada auricular
Conectividad: Bluetooth 5.0
Compatibilidad: Dispositivos Android 5.0 (con memoria RAM de hasta 1.5GB), o versiones superiores
Caracteristica: Habilitado para llamadas en modo Manos Libres
BAteria: Auricular: 58 mAh - Case: 252 mAh, compatible con recarga inalambrica Qi
Duracion de la bateria: Hasta 6 horas
Sensor: ACelularermetro - Sensor Hall - Proximidad
";23;23002;673019,1;943000
742504;AURICULAR SAMSUNG EO-HS1303;AURICULAR SAMSUNG EO-HS1303BEGWW C/MICROF;"Modelo : EO-HS1303BEGWW
Color: Negro, Verde, Azul
Microfono: Integrados
Caracteristica: Habilitado para llamadas en modo Manos Libres - Integra 3 botones de control para reproducciones y contestar llamadas telefnicas

";23;23002;47456,475;67000
715164;MONITOR SAMSUNG 24 CURVED ;"MONITOR SAMSUNG 24"" C24F390FHL CURVED ";"Modelo : C24F390FHL
Color: Negro
PANTALLA: LED Curved de 24""
Resolucion de la Pantalla: 1920 x 1080 Full HD
Angulo de Vision: Vertical: 178? - Horizontal: 178?
Caracteristica: Curvatura 1800R - Posee Tecnologia Flicker Free para minimizar el parpadeo de la pantalla y FreeSync que proporciona fluidez a la reproduccin de imagenes - Con Modo Eye Saver, el cual disminuye los efectos nocivos de la luz azul del monitor
Interfaz: D-Sub - HDMI - Mini Jack 3.5 mm";9;9001;1475464,95;2066000
801768;MONITOR SAMSUNG 27CURVED;"MONITOR SAMSUNG 27"" C27F390FHL CURVED P";"Modelo : C27F390FHL
Color: Negro
PANTALLA: LED Curved de 27""
Resolucion de la Pantalla: 1920 x 1080 Full HD
Angulo de Vision: Vertical: 178? - Horizontal: 178?
Caracteristica: Curvatura 1800R - Posee Tecnologia Flicker Free para minimizar el parpadeo de la pantalla y FreeSync que proporciona fluidez a la reproduccin de imagenes - Con Modo Eye Saver, el cual disminuye los efectos nocivos de la luz azul del monitor
Interfaz: D-Sub - HDMI - Mini Jack 3.5 mm";9;9001;1656662,4;2320000
1189544;RELOJ SAMSUNG FIT2 SM-R220 ;RELOJ PULSERA SAMSUNG FIT2 SM-R220 SMART PRE;"Modelo : Fit2 SM-R220NZK
Color: Negro, Rojo
Memoria Interna: 32G
Memoria Ram: 2 MB
Sistema Operativo: FreeRTOS
Funciones: Cuenta los pasos dados y los latidos cardiacos - Monitorea la calidad del sue¤o y los niveles de estr?s - Recordatorio para lavar las manos
Conectividad: Bluetooth 5.1
Compatibilidad: Dispositivos Android 5.0 (con memoria RAM de hasta 1.5GB), o versiones superiores
Caracteristica: Monitorea hasta 5 modalidades deportivas: Remo, eliptica, carrera, caminata y entrenamiento dinamico - Recibe notificaciones inteligentes de llamadas y mensajes - Controla la reproduccin de playlists a partir del dispositivo mvil conectado al reloj - Es compatible con aplicacin Samsung Health
Duracion de la bateria: Modo uso frecuente: hasta 15 dias - Modo uso ocasional: hasta 21 dias
Sensor: Sensor ptico de frecuencia cardiaca - ACelularermetro - Giroscopio
Material: Pulsera: Silicona
Resistente al agua: 5 ATM";23;23005;301995,75;423000
1043334;RELOJ SAMSUNG WATCH SM-R820 44;RELOJ SAMSUNG WATCH SM-R820 ALUM 44M S;"Modelo : Galaxy Watch Active2 SM-R820 Aluminium
Color: Silver
Memoria Interna: 4G
Memoria Ram: 750 MB
Visor: Super AMOLED de 1.4""
Procesador CPU: Dual Core de 1.15GHz
Sistema Operativo: Tizen
Funciones: Mide la frecuencia cardiaca a traves de la mu¤eca - Monitorea la calidad del sue¤o y los niveles de estr?s
Conectividad: Wi-Fi 802.11 b/g/n 2.4GHz - Bluetooth 5.0 - NFC
Compatibilidad: Dispositivos mviles habilitados con sistema operativo Android 5.0 y memoria RAM de 1.5GB, o superior
Caracteristica: Monitorea hasta 7 modalidades deportivas: caminata, carrera, ciclismo, remo, eliptico, natacin y otros ejercicios - Compatible con aplicacin Galaxy Wearable
Duracion de la bateria: Hasta 60 horas
Sensor: Sensor de frecuencia cardiaca - ACelularermetro - Barmetro - Giroscopio - Luz Ambiente
Material: Pulsera: Caja: Aluminio
Tama¤o: 44 mm
Resistente al agua: 5 ATM, segun la norma ISO 22810:2010";23;23005;1509978,75;2114000
1043365;RELOJ SAMSUNG SM-R820 STAI ;RELOJ SAMSUNG WATCH SM-R820 STAI 44M S;"Modelo : Galaxy Watch Active2 SM-R820 Stainless Steel
Color: Plata/Negro
Memoria Interna: 4G
Memoria Ram: 750 MB
Visor: Super AMOLED de 1.4""
Procesador CPU: Dual Core de 1.15GHz
Sistema Operativo: Tizen
Funciones: Mide la frecuencia cardiaca a traves de la mu¤eca - Monitorea la calidad del sue¤o y los niveles de estr?s
Conectividad: Wi-Fi 802.11 b/g/n 2.4GHz - Bluetooth 5.0 - NFC
Compatibilidad: Dispositivos mviles habilitados con sistema operativo Android 5.0 y memoria RAM de 1.5GB, o superior
Caracteristica: Monitorea hasta 7 modalidades deportivas: caminata, carrera, ciclismo, remo, eliptico, natacin y otros ejercicios - Compatible con aplicacin Galaxy Wearable
Duracion de la bateria: Hasta 60 horas
Sensor: Sensor de frecuencia cardiaca - ACelularermetro - Barmetro - Giroscopio - Luz Ambiente
Material: Pulsera: Caja: Acero inoxidable
Resistente al agua: 5 ATM, segun la norma ISO 22810:2010";23;23005;1829231,4;2561000
1190328;TABLET SAMSUNG T395 816 LTE;"TABLET SAMSUNG T395 ACT2 8""16 LTE PR +CP";"Modelo : Galaxy Tab Active2 SM-T395
Color: Negro
Memoria Interna: 16G
Memoria Ram: 3G
Procesador Cpu:Octa Core de 1.6GHz
Sistema Operativo: Android versin 9.0 Pie
Pantalla: WXGA TFT de 8.0"" - Compatible con S Pen
Camara: Principal de 8MP + Camara Frontal de 5MP
Frecuencia: 4G
Conectividad: Wi-Fi 802.11 a/b/g/n/ac, doble banda 2.4GHz y 5GHz - Bluetooth 4.2 - NFC
Video: Calidad maxima de captura: Full HD a 30 fps
Sensor: Huella Dactilar - Proximidad - Sensor de Luz Ambiente - ACelularermetro - Giroscopio - Sensor Geomagn?tico - Sensor Hall
";31;31002;2976815,25;4168000
