CONVERSOR DIGITALdigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Descripcion Larga;;descrip larga (max 180);Familia;Clase ;costo;Precio Lista
1132618;Televisor Vizzion 32  Smart;Televisor Vizzion 32  Le32E10 Led Smart - Wi-Fi Hdmi / Usb +Conversor Digital Conversor Digital;"Modelo: Le32E10 
Tamanho De Pantalla: Led De 32 
Resolucion: Hd 1366 X 768P
Conectividad: Wi-Fi
Interfaz: Hdmi Y Usb";Televisor Vizzion 32  Le32E10 Led Smart - Wi-Fi Hdmi / Usb +Conversor Digital Conversor Digital;27;95;9;9001;1520000;2127000
1132601;Televisor Vizzion 65  Smart 4K;Televisor Vizzion 65  Le65Q21 Led Smart 4K Ultra Hd Wi-Fi Hdmi / Usb+Conversor Digital;"Incluye: Soundbar Integrado
Modelo: Le65Q21
Tamanho De Pantalla: Led De 65 
Resolucion: 4K Ultra Hd 3840 X 2160P
Conectividad: Wi-Fi
Interfaz: Hdmi Y Usb";Televisor Vizzion 65  Le65Q21 Led Smart 4K Ultra Hd Wi-Fi Hdmi / Usb+Conversor Digital;30;86;9;9001;5390000;7545000
1156607;Televisor Aiwa 42  Smart ;Televisor Aiwa 42  Aw42B4Sm Full Hd Smart Wi-Fi Hdmi / Usb+Conversor Digital;"Modelo:  Aw42B4Sm
Resolucion De La Pantalla: Full Hd 1080P                                         
Pantalla: Led De 42  Smart
Interfaz: Hdmi  Usb  A V   Lan  Digital Audio Out  Entrada Para Antena  Audio Out
Conectividad: Wifi Y Bluetooth 
Conversor Digital";Televisor Aiwa 42  Aw42B4Sm Full Hd Smart Wi-Fi Hdmi / Usb+Conversor Digital;25;76;9;9001;2368000;3316000
1009538;Televisor Aiwa 58  Smart 4K ;Televisor Aiwa 58  Aw58B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet + Conversor Digital;"Resolucion De La Pantalla 4K Ultra Hd
Pantalla Led De 58 
Sintonizador Digital Integrado  Isdbt 
Conectividad Inalambrica Wifi
Interfaz: Hdmi  Usb  Lan Y Av
Conversor Digital
Modelo: Aw58B4K";Televisor Aiwa 58  Aw58B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet + Conversor Digital;28;88;9;9001;3896000;5454000
1007893;Televisor Aiwa 65  Smart 4K ;Televisor Aiwa 65  Aw65B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet+ Conversor Digital;"Modelo: Aw65B4K
Resolucion De La Pantalla 4K Ultra Hd
Pantalla Led De 65 
Sintonizador Digital Integrado  Isdbt 
Conectividad Inalambrica Wifi
Interfaz: Hdmi  Usb  Lan Y Avernet+ Conversor Digital";Televisor Aiwa 65  Aw65B4K Led Smart 4K Hdmi / Usb / Puerto Ethernet+ Conversor Digital;28;87;9;9001;5084000;7118000
1161526;Televisor Coby 42  Smart;Televisor Coby 42  Cy3448-42Sms Led Smart Full Hd Wi-Fi Hdmi / Usb  +Conversor Digital;"Modelo: Cy3448-42Sms
Smart Full Hd 1920X1080P
Pantalla: Led De 42 
Conectividad: Wifi
Interfaz: Hdmi  Usb  Vga Y Lan
Sistema Operativo: Android";Televisor Coby 42  Cy3448-42Sms Led Smart Full Hd Wi-Fi Hdmi / Usb  +Conversor Digital;24;86;9;9001;2284000;3197000
1158182;Televisor Coby 55 Smart 4K Uhd;Televisor Coby 55  Cy3359-554Ks Smar 4K+Teclado+4K Ultra Hd Wi-Fi / Hdmi / Usb + Conversor Digital;"Modelo:  Cy3359-554Ks 
Teclado
Resolucion De La Pantalla: 4K Ultra Hd 3840X2160P
Pantalla: Led De 55 
Conectividad: Wifi
Interfaz: Hdmi  Usb  Vga Y Lan
Sistema Operativo: Android";Televisor Coby 55  Cy3359-554Ks Smar 4K+Teclado+4K Ultra Hd Wi-Fi / Hdmi / Usb + Conversor Digital;30;98;9;9001;3565000;4991000
1158199;Televisor Coby 65  Smart 4K;Televisor Coby 65  Cy3359-654Ks Smar 4K+Teclado+Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;"Modelo: Cy3359-654Ks 
Teclado
Resolucion De La Pantalla: 4K Ultra Hd 3840X2160P
Pantalla: Led De 65 
Conectividad: Wifi
Interfaz: Hdmi  Usb  Vga Y Lan
Sistema Operativo: Android";Televisor Coby 65  Cy3359-654Ks Smar 4K+Teclado+Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;27;97;9;9001;5084000;7118000
1155518;Televisor Hyundai 24  Led ;Televisor Hyundai 24 Hy24Dtha Led Hd Hdmi / Vga / Usb Con Conversor Digital;"Modelo: Hy24Dta
Resolucion: Hd 1366 X 768
Pantalla: Led De 24 
Dolby Audio Y Auto Parlante Integrado
Interfaz:Hdmi - Entrada Para Antena - Usb - Mini Jack 3 5 Mm - Coaxial - Audio Input - Pc Audio In - Vga - Ypbpr";Televisor Hyundai 24 Hy24Dtha Led Hd Hdmi / Vga / Usb Con Conversor Digital;26;75;9;9001;807000;1129000
1093933;Televisor Hyundai 32 Led;Televisor Hyundai 32 Hy32Dthc Led Hd Hdmi / Vga / Usb Con Conversor Digital;"Modelo: Hy32Dthc
Resolucion: 1366 X 768P
Pantalla: Led De 32 
Interfaz: Hdmi  Vga  Rf  Usb  Mini Jack 3 5 Mm  Ypbpr";Televisor Hyundai 32 Hy32Dthc Led Hd Hdmi / Vga / Usb Con Conversor Digital;24;75;9;9001;1155000;1616000
956703;Televisor Hyundai 40  Smart ;Televisor Hyundai 40 Hy40Ntfb Led Smart Linux/Full Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;"Modelo: Hy40Ntfb 
Conversor Digital
Resolucion De La Pantalla Full Hd 1920 X 1080P
Pantalla Led De 40 
Sistema Operativo Basado En Linux  
Conectividad Inalambrica Wifi
Interfaz: 3 Hdmi - 2 Usb - A V - Rf - Lan - Mini Jack 3 5 Mm";Televisor Hyundai 40 Hy40Ntfb Led Smart Linux/Full Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;28;94;9;9001;2122000;2971000
957618;Televisor Hyundai 50  Smart;Televisor Hyundai 50 Hy50Atfa Led Smart Android+Conversor Digital;"Modelo: Hy50Atfa
Conversor Digital
Pantalla Led De 50  Smart
Sistema Operativo Basado En Android 7 0
Conectividad Inalambrica Wifi
Interfaz: Hdmi  Usb 2 0  Vga  Rf In Y Audio Integrado";Televisor Hyundai 50 Hy50Atfa Led Smart Android+Conversor Digital;27;65;9;9001;2793000;3910000
956741;Televisor Hyundai 55  Smart 4K;Televisor Hyundai 55 Hy55Ntub Led Smart Linux+4K Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;"Modelo: Hy55Ntub 
Conversor Digital
Resolucion De La Pantalla 4K Ultra Hd
Pantalla Led De 55 
Sistema Operativo Basado En Linux  
Conectividad Inalambrica Wifi
Interfaz: Lan  Hdmi  Jack 3 5Mm  Av  Usb Y Antena Rf";Televisor Hyundai 55 Hy55Ntub Led Smart Linux+4K Ultra Hd Wi-Fi / Hdmi / Usb Con Conversor Digital;30;98;9;9001;3777000;5288000
1084245;Televisor Lg 32  Smart;Televisor Lg 32  32Lm630Bpsb Smart Bluetooth Hdmi / Usb Con Convertidor Digital;"Modelo: Lm630Bpsb 
Hdmi / Usb Con Convertidor Digital 
Pantalla: Led De 32 
Resolucion Maxima: Hd 1366 X 768P 
Formatos Hdr: Hdr 10 Pro  Hlg
Sistema Operativo: Webos Smart Tv
Sonido: Virtual Surround Plus
Conectividad: Wifi  Bluetooth";Televisor Lg 32  32Lm630Bpsb Smart Bluetooth Hdmi / Usb Con Convertidor Digital;22;79;9;9001;1723000;2413000
1112917;Televisor Lg 43  Smart 4K;Televisor Lg 43  43Um7100Psa Smart 4K-Ultra Hd Bluetooth Hdmi / Usb Con Conversor Digital;"Modelo: 43Um7100Psa 
Conversor Digital 
Pantalla: Led Ips De 43 
Resolucion Maxima: Smart 4K Ultra Hd 3840 X 2160P
Frecuencia De Refresco: 60 Hz
Sistema Operativo: Webos Ai Thinq
Sonido: Ultra Surround
Conectividad: Wifi  Bluetooth";Televisor Lg 43  43Um7100Psa Smart 4K-Ultra Hd Bluetooth Hdmi / Usb Con Conversor Digital;25;89;9;9001;2801000;3921000
