CONVERSOR DIGITALdigo Proveedor ;Nombre ;Detalle;Descripcion Larga;Familia;Clase ;COSTO;Precio Lista
1007862;"TELEVISOR AIWA 39"" SMART ";"Resolucion de la pantalla HD
Pantalla LED de 39""
Audio Dolby digital
Conectividad inalambrica Wifi
Interfaz: HDMI  USB  AV y LAN
Conversor Digital ";"TELEVISOR AIWA 39"" AW39B4SM LED SMART HDMI / USB / Puerto Ethernet+CONVERSOR DIGITALN";9;9001;2283000;3.196.200
1156607;"TELEVISOR AIWA 42"" SMART ";"Modelo:  AW42B4SM
Resolucion de la pantalla: Full HD 1080p                                         
Pantalla: LED de 42"" SMART
Interfaz: HDMI  USB  A V   LAN  Digital Audio Out  Entrada para Antena  Audio Out
Conectividad: WiFi y Bluetooth 
Conversor Digital";"TELEVISOR AIWA 42"" AW42B4SM FULL HD SMART Wi-Fi HDMI / USB+CONVERSOR DIGITAL";9;9001;2453000;3.434.200
1007879;"TELEVISOR AIWA 50""  SMART 4K";"Modelo: AW50B4K 
Resolucion de la pantalla 4K Ultra HD
Pantalla LED de 50""  Smart 4K Ultra HD
Sistema operativo basado en Linux
Conectividad inalambrica Wifi
Interfaz: HDMI  USB  LAN  AV y WiFi / HDMI / USB 
Conversor Digital";"TELEVISOR AIWA 50"" AW50B4K LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";9;9001;3386000;4.740.400
1142822;"TELEVISOR AIWA 55""  SMART 4K ";"Resolucion de la pantalla 4K Ultra HD
Pantalla LED de 55""
Sintonizador Digital integrado  ISDBT 
Conectividad inalambrica Wifi
Interfaz: HDMI  USB  LAN y AV
";"TELEVISOR AIWA 55"" AW55B4KF LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";9;9001;3820000;5.348.000
1009538;"TELEVISOR AIWA 58"" SMART 4K ";"Resolucion de la pantalla 4K Ultra HD
Pantalla LED de 58""
Sintonizador Digital integrado  ISDBT 
Conectividad inalambrica Wifi
Interfaz: HDMI  USB  LAN y AV
Conversor Digital
Modelo: AW58B4K";"TELEVISOR AIWA 58"" AW58B4K LED SMART 4K HDMI / USB / Puerto Ethernet + CONVERSOR DIGITAL";9;9001;4235000;5.929.000
1007893;"TELEVISOR AIWA 65"" SMART 4K ";"Modelo: AW65B4K
Resolucion de la pantalla 4K Ultra HD
Pantalla LED de 65""
Sintonizador Digital integrado  ISDBT 
Conectividad inalambrica Wifi
Interfaz: HDMI  USB  LAN y AVernet+ CONVERSOR DIGITAL";"TELEVISOR AIWA 65"" AW65B4K LED SMART 4K HDMI / USB / Puerto Ethernet+ CONVERSOR DIGITAL";9;9001;5084000;7.117.600
1156614;"TELEVISOR AIWA 75"" SMART 4K ";"Modelo:  AW75B4K
Resolucion de la pantalla 4K Ultra HD 3840 x 2160
Pantalla LED de 75""
Sintonizador Digital integrado  ISDBT 
Conectividad inalambrica Wifi
Interfaz: HDMI  USB  LAN y AV";"TELEVISOR AIWA 75"" AW75B4K SMAR 4K ULTRA HDMI / USB / Puerto Ethernet+ CONVERSOR DIGITAL";9;9001;8055000;11.277.000
1161526;"TELEVISOR COBY 42"" SMART";"Modelo: CY3448-42SMS
SMART Full HD 1920x1080p
Pantalla: LED de 42""
Conectividad: Wifi
Interfaz: HDMI  USB  VGA y LAN
Sistema operativo: Android";"TELEVISOR COBY 42"" CY3448-42SMS LED SMART Full HD Wi-Fi HDMI / USB  +CONVERSOR DIGITAL";9;9001;2283000;3.196.200
1158182;"TELEVISOR COBY 55""SMART 4K UHD";"Modelo:  CY3359-554KS 
TECLADO
Resolucion de la pantalla: 4K Ultra HD 3840x2160p
Pantalla: LED de 55""
Conectividad: Wifi
Interfaz: HDMI  USB  VGA y LAN
Sistema operativo: Android";"TELEVISOR COBY 55"" CY3359-554KS SMAR 4K+TECLADO+4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";9;9001;3565000;4.991.000
1158199;"TELEVISOR COBY 65"" SMART 4K";"Modelo: CY3359-654KS 
TECLADO
Resolucion de la pantalla: 4K Ultra HD 3840x2160p
Pantalla: LED de 65""
Conectividad: Wifi
Interfaz: HDMI  USB  VGA y LAN
Sistema operativo: Android";"TELEVISOR COBY 65"" CY3359-654KS SMAR 4K+TECLADO+Ultra HD Wi-Fi / HDMI / USB con Conversor Digital";9;9001;5084000;7.117.600
