Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
356909;Tarj Samsung P/Cerradura Univ;Tarjeta Samsung P/Cerradura Universal;Tarjeta Samsung P/Cerradura Universal;23;23009;42000;58000
1107012;Cerradura Hyu-420 Pre/Cin;Cerradura Hyundai Hyu-420 Pre/Cin;Cerradura Hyundai Hyu-420 Pre/Cin;23;23009;717000;1004000
1107005;Cerradura Hyu-580 Pre/Sil;Cerradura Hyundai Hyu-580 Pre/Sil;Cerradura Hyundai Hyu-580 Pre/Sil;23;23009;948000;1327000
1106992;Cerradura Hyu-6450 Pre/Dou;Cerradura Hyundai Hyu-6450 Pre/Dou;Cerradura Hyundai Hyu-6450 Pre/Dou;23;23009;1195000;1673000
955768;Patin Eletrico Audisat Blanco;"Patin Eletrico Audisat E-02 8.5""Blanco";"Patin Eletrico Audisat E-02 8.5""Blanco";23;23007;1360000;1904000
1140460;Patin Eletrico Xiaomi 1S 8.5 P;Patin Eletrico Xiaomi 1S Ddhbc05Neb 8.5 P;Patin Eletrico Xiaomi 1S Ddhbc05Neb 8.5 P;23;23007;2712000;3796000
1025316;Accesorio p/ Scooter Y Monopatin;Accesorio Sonoro Para Scooter Y Monopatin Electrico Mdp-S01 Con Speaker Y Led - Colorido;Accesorio Sonoro Para Scooter Y Monopatin Electrico Mdp-S01 Con Speaker Y Led - Colorido;23;23007;141000;197000
1157222;"Smart Balance Wheel 6.5"" ";"Smart Balance Wheel 6.5"" Bluetooth / Speaker / Bolsa";"Smart Balance Wheel 6.5"" Bluetooth / Speaker / Bolsa";23;23007;701000;981000
1159196;Playstation 5 825Gb Sony ;Playstation 5 825Gb Sony Cfi-1000A 8K Bivolt - Blanca / Negra;Playstation 5 825Gb Sony Cfi-1000A 8K Bivolt - Blanca / Negra;23;23004;7376000;10326000
1136630;Camara Para Playstation 5 ;Camara Hd Sony Cfi-Zey1 Para Playstation 5 - Blanca / Negra;Camara Hd Sony Cfi-Zey1 Para Playstation 5 - Blanca / Negra;23;23004;528000;739000
942935;Control Inalamb Sony Plays4 ;Control Inalambrico Sony Dualshock 4 Cuh-Zct2U Para Playstation 4 - Negro;Control Inalambrico Sony Dualshock 4 Cuh-Zct2U Para Playstation 4 - Negro;23;23004;419000;586000
1136647;Control Inalamb Sony Plays4 ;Control Inalambrico Sony Dualsense Cfi-Zct1W Para Playstation 5 - Blanco / Negro;Control Inalambrico Sony Dualsense Cfi-Zct1W Para Playstation 5 - Blanco / Negro;23;23004;466000;652000
1159325;Playstation 4 Slim Sony + Jueg;Playstation 4 Slim De 1Tb Sony Cuh-2215B B01X Bivolt + Juego Fifa 21 - Jet Black;Playstation 4 Slim De 1Tb Sony Cuh-2215B B01X Bivolt + Juego Fifa 21 - Jet Black;23;23004;3536000;4950000
983495;Playstation 4 Slim Sony;Playstation 4 Slim De 1Tb Sony Cuh-2215B B01X Bivolt - Jet Black;Playstation 4 Slim De 1Tb Sony Cuh-2215B B01X Bivolt - Jet Black;23;23004;3124000;4373000
1159332;Playstation 4 Slim + 3Juegos ;Playstation 4 Slim De 1Tb Sony Cuh-2215B B01X Bivolt + 3 Juegos - Jet Black;Playstation 4 Slim De 1Tb Sony Cuh-2215B B01X Bivolt + 3 Juegos - Jet Black;23;23004;3536000;4950000
1136661;Consola Xbox One Serie S 512Gb;Consola Xbox One Series S All Digital De 512Gb Microsoft 1883 Bivolt - Blanca;Consola Xbox One Series S All Digital De 512Gb Microsoft 1883 Bivolt - Blanca;23;23004;3338000;4673000
1163636;Drone Dji Mavic Fpv Combo ;Drone Dji Mavic Fpv Combo (Na) 4K Ultra Hd Con Gps - Gris;Drone Dji Mavic Fpv Combo (Na) 4K Ultra Hd Con Gps - Gris;23;23010;11942000;16718000
