Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista;;;;;;
766593;IMPRESSORA EPSON LX350 USB;IMPRESSORA EPSON LX350 USB;"Modelo: LX-350
TECNOLOGiA: Matricial de 9 agujas
IMPRESIoN: Monocromatica
VELOCIDAD: Borrador de alta velocidad: 347 CPS (10 CPI), 357 CPS (12 CPI) y 390 CPS (15 CPI)) - Borrador: 260 CPS (10 CPI), 312 CPS (12 CPI) y 223 CPS (15 CPI)
CARACTERISTICA: Soporta impresion de formularios de hasta 5 copias (1 original y 4 copias) - Panel de control con botones para configurar las funciones
PAPEL SOPORTADO Formulario continuo (10.16 a 25.4 cm e 10.16 a 55.88 cm) - Sobres N 6 (16.5 x 9.2 cm) y N 10 (24.1 x 10.5 cm) - Bobina de papel (21.6 cm)";31;31005;1613000;2259000;;;;;;
1025613;IMPRESSORA EPSON L3110 3EM1 ;IMPRESSORA EPSON L3110 3EM1 PRETO 2V SG;"Modelo: EcoTank L3110
FUNCIONES: Impresora - Scanner - Fotocopiadora
TECNOLOGiA: Impresion Chorro de tinta MicroPiezo de 4 colores (CMYK)
TIPO DE PAPEL SOPORTADO: Bright white paper, Ultra Premium Photo paper, GlossyPremium Photo Paper Glossy, Premium Photo Paper Semi-Gloss, Photo Paper Glossy, Premium Presentation, Paper Matte y Presentation Paper Matte";31;31005;2267000;3174000;;;;;;
1030525;IMPRESSORA EPSON L3150 3EM1;IMPRESSORA EPSON L3150 3EM1 WIRE PRE 2V;"Modelo: EcoTank L3150
FUNCIONES: Impresora - Scanner - Fotocopiadora
TECNOLOGiA: Impresion Chorro de tinta MicroPiezo de 4 colores (CMYK)
CONECTIVIDAD:  Wifi
IMPRESION: Impresion Movil: Epson iPrint para iOS y Android, Epson Email Print, Remote Print Driver y Google Cloud Print";31;31005;2326000;3257000;;;;;;
1169751;IMPRESSORA EPSON M3170 4EM1 ;IMPRESSORA EPSON M3170 4EM1 WIRE 2V SG;"Modelo: EcoTank M3170 C662B
FUNCIONES: Impresora - Scanner - Fotocopiadora- Fax
TECNOLOGiA: Impresion Inyeccion de tinta monocromatica PrecisionCore
CONECTIVIDAD:  Wifi
IMPRESION: Impresion doble cara automatica - Impresion Movil: Epson iPrint para iOS y Android, Apple AirPrint, Google Cloud Print, Certificada para Mopria y Wi-Fi Direct";31;31005;2844000;3982000;;;;;;
1155419;IMPRESORA HP 1000A LASER ;IMPRESORA HP 1000A LASER BRAN 220V SG;IMPRESORA HP 1000A LASER BRAN 220V SG;31;31005;1689000;2365000;;;;;;
764056;IMPRESORA HP PRO M203DW ;IMPRESORA HP PRO M203DW WIF LASER 220SG;IMPRESORA HP PRO MFP M428FDW WIREL 220V;31;31005;1231000;1724000;;;;;;
920230;IMPRESORA INTERMEC PC43T ;IMPRESORA INTERMEC PC43T USB PRETO;IMPRESORA INTERMEC PC43T USB PRETO;31;31005;3098000;4338000;;;;;;
1132243;NOTEBOOK ACER A315-56-594W I5 1035G1 8/256/15C;NOTEBOOK ACER A315-56-594W I5 1035G1 8/256/15C;NOTEBOOK ACER A315-56-594W I5 1035G1 8/256/15C;31;31004;4626000;6477000;;;;;;
868778;"NOTEBOOK ACER SA5-271-34MN I3 6100 4G/256/12""S";"NOTEBOOK ACER SA5-271-34MN I3 6100 4G/256/12""S";"NOTEBOOK ACER SA5-271-34MN I3 6100 4G/256/12""S";31;31004;4881000;6834000;;;;;;
868785;"NOTEBOOK ACER SA5-271-56TK I5 6200 8G/256/12""S";"NOTEBOOK ACER SA5-271-56TK I5 6200 8G/256/12""S";"NOTEBOOK ACER SA5-271-56TK I5 6200 8G/256/12""S";31;31004;5899000;8259000;;;;;;
1172225;NOTEBOOK ACER SP513-52N8905 I7 8550U 8/256/13C;NOTEBOOK ACER SP513-52N8905 I7 8550U 8/256/13C;NOTEBOOK ACER SP513-52N8905 I7 8550U 8/256/13C;31;31004;6663000;9329000;;;;;;
1162875;NOTEBOOK ASUS E410MA N4020;"NOTEBOOK ASUS E410MA-211 N4020 4G/64GB/14""PRE";"NOTEBOOK ASUS E410MA-211 N4020 4G/64GB/14""PRE";31;31004;2148000;3008000;;;;;;
1162844;NOTEBOOK ASUS F515JA;"NOTEBOOK ASUS F515JA-AH31 I3 1005G1 4/128/15""C";"NOTEBOOK ASUS F515JA-AH31 I3 1005G1 4/128/15""C";31;31004;3658000;5122000;;;;;;
1179873;NOTEBOOK ASUS L510MA;"NOTEBOOK ASUS L510MA-DB02 N4020 4G/64GB/15.6""P";"NOTEBOOK ASUS L510MA-DB02 N4020 4G/64GB/15.6""P";31;31004;2869000;4017000;;;;;;
1182125;NB DELL 15-3505 ;"NB DELL 15-3505 3050U 4GB/1TB/15.6""SI";"NB DELL 15-3505 3050U 4GB/1TB/15.6""SI";31;31004;3735000;5229000;;;;;;
1182163;NB DELL 15-3505 ;"NB DELL 15-3505 3050U 4GB/256GB/15.6""SI";"NB DELL 15-3505 3050U 4GB/256GB/15.6""SI";31;31004;3820000;5348000;;;;;;
1183214;NB DYNABOOK TECRA A40;"NB DYNABOOK TECRA A40-G 5205U 4/128/14""P";"NB DYNABOOK TECRA A40-G 5205U 4/128/14""P";31;31004;2699000;3779000;;;;;;
1179965;"NOTEBOOK GATEWAY GWTN116 A4 9120E 4/64/11""P RB";"NOTEBOOK GATEWAY GWTN116 A4 9120E 4/64/11""P RB";"NOTEBOOK GATEWAY GWTN116 A4 9120E 4/64/11""P RB";31;31004;1910000;2674000;;;;;;
1155686;NOTEBOOK HP 15-DW1024WM I3 ;"NOTEBOOK HP 15-DW1024WM I3 10110U 4/128/15.6""S";"NOTEBOOK HP 15-DW1024WM I3 10110U 4/128/15.6""S";31;31004;3503000;4905000;;;;;;
1179910;NOTEBOOK HP 11-AK1035NR X5 E8000 ;"NOTEBOOK HP 11-AK1035NR X5 E8000 4/32/11""BR RB";"NOTEBOOK HP 11-AK1035NR X5 E8000 4/32/11""BR RB";31;31004;1995000;2793000;;;;;;
1166521;NOTEBOOK HP 14-CB174WM N4020;"NOTEBOOK HP 14-CB174WM N4020 4GB/64GB/14"" PRE";"NOTEBOOK HP 14-CB174WM N4020 4GB/64GB/14"" PRE";31;31004;2419000;3387000;;;;;;
1177565;NOTEBOOK HP 14-DQ2055WM I3 ;"NOTEBOOK HP 14-DQ2055WM I3 1115G4 4G/256G/14""S";"NOTEBOOK HP 14-DQ2055WM I3 1115G4 4G/256G/14""S";31;31004;3633000;5087000;;;;;;
1179903;NOTEBOOK HP 14-DS0037NR A4 ;"NOTEBOOK HP 14-DS0037NR A4 9120E 4/64/14""RS RB";"NOTEBOOK HP 14-DS0037NR A4 9120E 4/64/14""RS RB";31;31004;2674000;3744000;;;;;;
1165722;NOTEBOOK HP 14A-CA0090WM N4020 ;NOTEBOOK HP 14A-CA0090WM N4020 CHROME 4/64/14A;NOTEBOOK HP 14A-CA0090WM N4020 CHROME 4/64/14A;31;31004;2674000;3744000;;;;;;
1163834;NOTEBOOK HP 15-DW0083WM N5030 ;"NOTEBOOK HP 15-DW0083WM N5030 4GB/128G/15.6""VM";"NOTEBOOK HP 15-DW0083WM N5030 4GB/128G/15.6""VM";31;31004;3039000;4255000;;;;;;
1142433;NOTEBOOK HP 15-DW1083WM 6405U ;"NOTEBOOK HP 15-DW1083WM 6405U 4G/128G/15.6""VRM";"NOTEBOOK HP 15-DW1083WM 6405U 4G/128G/15.6""VRM";31;31004;3090000;4326000;;;;;;
1183207;NOTEBOOK HP 15-DY0009CA N4020 ;"NOTEBOOK HP 15-DY0009CA N4020 4G/128G/15.6""PR";"NOTEBOOK HP 15-DY0009CA N4020 4G/128G/15.6""PR";31;31004;3293000;4611000;;;;;;
1143102;NOTEBOOK HP 15-DY1031WM I3 ;NOTEBOOK HP 15-DY1031WM I3 1005G1 8/256/15S RB;NOTEBOOK HP 15-DY1031WM I3 1005G1 8/256/15S RB;31;31004;4074000;5704000;;;;;;
1174885;NOTEBOOK HYUNDAI 4Z2EBK N3350 ;NOTEBOOK HYUNDAI 4Z2EBK N3350 4/64G+120SSD/14P;NOTEBOOK HYUNDAI 4Z2EBK N3350 4/64G+120SSD/14P;31;31004;2334000;3268000;;;;;;<<<<<<<<<<<<<<<<<<<<<<<<<<<
1174854;NOTEBOOK HYUNDAI 4Z2EBK N3350 ;NOTEBOOK HYUNDAI 4Z2EBK N3350 4/64G+240SSD/14P;NOTEBOOK HYUNDAI 4Z2EBK N3350 4/64G+240SSD/14P;31;31004;2419000;3387000;;;;;;
1174908;NOTEBOOK HYUNDAI 4Z2EBK N3350 ;"NOTEBOOK HYUNDAI 4Z2EBK N3350 4GB/64GB/14.1""PR";"NOTEBOOK HYUNDAI 4Z2EBK N3350 4GB/64GB/14.1""PR";31;31004;2080000;2912000;;;;;;
1163872;NOTEBOOK LENOVO 81TA C340 N4000 ;NOTEBOOK LENOVO 81TA C340 N4000 CHROM 4/32/11C;NOTEBOOK LENOVO 81TA C340 N4000 CHROM 4/32/11C;31;31004;3183000;4457000;;;;;;
1174861;NB HYUNDAI 4Z2ESG 120SSD;NB HYUNDAI 4Z2ESG N3350 4/64G+120SSD/14C;NB HYUNDAI 4Z2ESG N3350 4/64G+120SSD/14C;31;31004;2334000;3268000;;;;;;
1174830;NB HYUNDAI 4Z2ESG 240SSD;NB HYUNDAI 4Z2ESG N3350 4/64G+240SSD/14C;NB HYUNDAI 4Z2ESG N3350 4/64G+240SSD/14C;31;31004;2419000;3387000;;;;;;
1174892;"NB HYUNDAI 4Z2ESG 14.1""CI";"NB HYUNDAI 4Z2ESG N3350 4GB/64GB/14.1""CI";"NB HYUNDAI 4Z2ESG N3350 4GB/64GB/14.1""CI";31;31004;2080000;2912000;;;;;;
