Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
1185638;IMPRESORA HP DeskJet 3772;IMPRESORA HP DeskJet 3772;Modelo: Deskjet 3772 All-In-One Printer . Tecnolog¡a: Impresi¢n Inyecci¢n T‚rmica De Tinta . Funciones: Impresora - Scanner - Fotocopiadora . Tecnologia: Impresi¢n Inyecci¢n T‚rmica De Tinta . Caracteristica: Capacidad De La Bandeja De Entrada De Hasta 60 Hojas, Bandeja De Salida Para Hasta 25 Hojas. . Papel Soportado Papel Com£n, Fotogr ficos, Sobres Y Para Folletos;31;31005;859000;1202600
1139891;NOTEBOOK ACER A115-31-C2Y3 ;"NOTEBOOK ACER A115-31-C2Y3 N4020 4G/64G/15.6""P";"Notebook Acer A115-31-C2Y3 N4020 4G/64G/15.6""P";31;31004;2619000;3666600
1189124;NOTEBOOK ACER A314-22-A21D;"NOTEBOOK ACER A314-22-A21D 3020E 4G/128G/14""PR";"Notebook Acer A314-22-A21D 3020E 4G/128G/14""Pr";31;31004;3277000;4587800
1189131;NOTEBOOK ACER A515-46-R14K;"NOTEBOOK ACER A515-46-R14K 3350U 4/128G/15.6""S";"Notebook Acer A515-46-R14K 3350U 4/128G/15.6""S";31;31004;3729000;5220600
1168464;NOTEBOOK ACER R CB715-1W-35ZK;NOTEBOOK ACER R CB715-1W-35ZK CHROME 4/128/15.6C;Notebook Acer R Cb715-1W-35Zk Chrome 4/128/15.6C;31;31004;3543000;4960200
1189735;NOTEBOOK ACER R SF314-42-R9YN;"NOTEBOOK ACER R SF314-42-R9YN 4700U 8G/512G/14""S";"Notebook Acer R Sf314-42-R9Yn 4700U 8G/512G/14""S";31;31004;5788000;8103200
1191127;NOTEBOOK ACER I7;NOTEBOOK ACER SF314-5975QC I7 1165G7 8/256/14S;Notebook Acer Sf314-5975Qc I7 1165G7 8/256/14S;31;31004;7500000;10500000
1154955;NOTEBOOK ASUS R214NA;NOTEBOOK ASUS R214NA-EH015TS N3350 4/64G/11.6C;Notebook Asus R214Na-Eh015Ts N3350 4/64G/11.6C;31;31004;2575000;3605000
1179873;NOTEBOOK ASUS L510MA;"NOTEBOOK ASUS L510MA-DB02 N4020 4G/64GB/15.6""P";"Notebook Asus L510Ma-Db02 N4020 4G/64Gb/15.6""P";31;31004;2929000;4100600
1164114;NOTEBOOK ASUS R564JA-UH51T;"NOTEBOOK ASUS R564JA-UH51T 1035G1 4+4/256/15""C";"Notebook Asus R564Ja-Uh51T 1035G1 4+4/256/15""C";31;31004;5433000;7606200
1185294;NOTEBOOK DELL 15 3505 3250U ;"NB DELL 15-3505 3250U 4GB/128GB/15.6""BR";"Nb Dell 15-3505 3250U 4Gb/128Gb/15.6""Br";31;31004;3817000;5343800
1169843;NOTEBOOK EVOO ULT EVC116-7;"NOTEBOOK EVOO ULT EVC116-7 N4000 4G/64G/11.6""A ";"Notebook Evoo Ult Evc116-7 N4000 4G/64G/11.6""A ";31;31004;1679000;2350600
1179965;NOTEBOOK GATEWAY GWTN116 A4;"NOTEBOOK GATEWAY GWTN116 A4 9120E 4/64/11""P RB";"Notebook Gateway Gwtn116 A4 9120E 4/64/11""P Rb";31;31004;1997000;2795800
