product_code;nombre ;nombre largo ;detalle ;familia ;clase;Costo;lista 
GIMEVOABN;ABDOMINALERA EVOLUTION EVO;ABDOMINALERA EVOLUTION EVO AB COASTER MONITOR DIGITAL PESO MAX 110KGS;Monitor Digital  . Peso Max 110Kgs . Ancho 38 Cm . Alto 38 Cm . Largo 128 Cm;3;3001;999238;1260000
GIMEVOAB50N;ABDOMINALERA EVOLUTION CRUNCH;ABDOMINALERA EVOLUTION TOTAL CRUNCH AB50;Abdominales Inferiores Y Superiores  . Brazos Y Espalda  . Gluteos Y Muslos  . Pantorrilla;3;3001;706984;891000
272;SPLIT TOKYO EXTENSE 36000BTU;SPLIT  TOKYO EXTENSE 36000BTU;Modo Frio Y Modo Calefaccion .  Enfriamiento De Alto Poder .  Con Control Remoto Inalambrico .  Con Gas Ecologico (R410A) .  Filtro Lavable Y Desmontable .  Con Filtro Lavable . Funcion Auto Restart . Medidas An 109 Cm Alt 50 Cm Prof 87,5 Cm . Monofasico;25;25007;7264944;9154000
267;SPLIT  TOKYO EXT IONIC 36000BT;SPLIT TOKYO EXTENSE IONIC EAE20 36CHR1 36000BTU;Modelo: Ionic Eae20-36Chr1 . Ancho 55 Cm . Alto 1335 Cm . Largo 2445 Cm . Peso 87000 Gr;25;25007;7264944;9154000
274;SPLIT TOKYO PISO TECH 36000BTU;SPLIT TOKYO PISO/TECHO ECH20 PT 36CHR1 36000BTU F/C 220V/1P/50HZ;Techo Piso . Ancho 190 Cm . Alto 146 Cm . Largo 90 Cm . Peso 102800 Gr . Ech20-Pt-36Chr1;25;25004;8174938;10301000
262;SPLIT  TOKYO EXT 24000BTU;ACONDICIONADORES  DE AIRE EXTENSE EAE20 24CHR1 24000BTU CON CONTROL KIT INCLUIDO;Tension Electrica 220-240 Voltios . Frecuencia Electrica 50 Hertz . Ancho 82 Cm . Alto 1042 Cm . Largo 1992 Cm . Peso 66000 Gr;25;25007;4690000;5910000
261;SPLIT TOKYO EXT IONIC 24000BTU;SPLIT  TOKYO EXTENSE IONIC CAE20 24CHR1 24000BTU CON CONTROL KIT INCLUIDO;Modelo Cae20-24Chr1 . Tension Electrica 220-240 Voltios . Frecuencia Electrica 50 Hertz . Ancho 82 Cm . Alto 1042 Cm . Largo 1992 Cm . Peso 66000 Gr;25;25007;4741724;5975000
255;AIRE INVERTER LG 48000 BTU;SPLIT LG INVERTER 48000 BTU/H F/C 220 240V 1F 50/60HZ;Ancho 2042 Cm . Alto 2364 Cm . Largo 816 Cm . Peso 134000 Gr;25;25004;13275381;16727000
224;AIRE CASSETTE TOKYO 12000BTU;SPLIT TOKYO CASSETTE 4 VIAS F/C12000BTU ECH18 C 12CHR1 DESC HORIZ 2200V/50HZ;Modelo Ech18-C-12Chr1  . Ancho 101 Cm . Alto 96 Cm . Largo 1665 Cm . Peso 61500 Gr;25;25004;4365051;5500000
227;AIRE CASSETTE TOKYO 48000BTU;SPLIT TOKYO CASSETTE ROUND FLOW SLIM F/C48000BTU ECH18 CS 48CHR1 DESC VERT 220V/50HZ;Modelo Ech18-Cs-48Chr1 . Ancho 168 Cm . Alto 125 Cm . Largo 168 Cm . Peso 127500 Gr;25;25004;10650053;13420000
242;SPLIT TOKYO EXT 12 MTS 24000BT;SPLIT TOKYO EXTENSE 12 MTS 24000BTU CAFH19 24CHR1 KIT INCLUIDO; Modo Frio Y Modo Calefaccion . Enfriamiento De Alto Poder .  Con Control Remoto Inalambrico .  Con Gas Ecologico (R410A) .  Filtro Lavable Y Desmontable .  Con Filtro Lavable . Funcion Reinicio Automatico . Flujo De Aire Bidireccional (Movimiento Horizontal Y Vertical De Las Aletas);25;25007;4001910;5043000
245;SPLIT TOKYO EXTENSE 18000BTU;SPLIT TOKYO EXTENSE CAE19 18CHR1 18000BTU CON CONTROL KIT INCLUIDO;Modo Frio Y Modo Calefaccion .  Enfriamiento De Alto Poder .  Con Control Remoto Inalambrico .  Con Gas Ecologico (R410A) .  Filtro Lavable Y Desmontable .  Con Filtro Lavable . Funcion Auto Resta . Flujo De Aire Bidireccional  . ;25;25007;3023174;3810000
257;SPLIT TOKYO 60000BTU PISO TECH;SPLIT TOKYO MOD 60CHR1 60000BTU/H PISO/TECHO GAS ECOLOGICO R410A FC/C DESC SUPERIOR;Piso Techo . Frio Calor  . Ancho 153 Cm . Alto 120 Cm . Largo 251 Cm . Peso Gr;25;25004;10819965;13634000
254;SPLIT  TOKYO INVERTER 12000BTU;SPLIT TOKYO OPTIMA INVERTER 12000BTU CTFH18 12CHCON CONTROL KIT INCLUIDO;Ancho 172 Cm . Alto 74 Cm . Largo 902 Cm . Peso 344 Kg;25;25007;2800064;3529000
256;SPLIT  TOKYO INVERTER 18000BTU;SPLIT TOKYO OPTIMA INVERTER 18000BTU CTFH18 18CHCON CONTROL KIT INCLUIDO;Enfriamiento De Alto Poder .  Filtro Lavable Y Desmontable . Con Compresores Inverter  . Auto Restart . Modo Frio Calor . R410A Gas Eco;25;25007;4299926;5418000
195;SPLIT TOKYO PISO TECH 36000BTU;SPLIT TOKYO PISO/TECHO INVERTER CCH18 PTI 36CHR1 36000BTU F/C 380V/3P/50HZ;Frio Calor . Control Remoto . Auto Restar . Modo Sleep . Gas Eco . FrioCalor (Trifasico);25;25004;10000019;12601000
189;SPLIT TOKYO PISO TECHO 48000BT;SPLIT TOKYO PISO/TECHO INVERTER ECH18 PTI 48CHR1 48000BTU F/C 220V/1P/50HZ;Los Acondicionadores De Aire Tokyo Combinan La Ultima Tecnologia Con Las Mas Alta Eficiencia Y El Respaldo De La Marca Lider En Climatizacion . Ancho 2714 Cm . Alto 221 Cm . Largo 732 Cm . Peso 162 Kg;25;25004;11500015;14491000
